1964.678, 1964.678, 0.0002571795
1964.678, 1985.053, 0.0002581461
1964.678, 2004.727, 0.0002581286
1924.551, 1924.551, 0.0002568313
1924.551, 1964.39, 0.0002577138
1924.551, 2004.574, 0.0002579343
1884.403, 1884.403, 0.0002556509
1884.403, 1925.214, 0.0002566639
1884.403, 1965.371, 0.0002579094
1884.403, 2004.6, 0.0002579224
1844.252, 1844.252, 0.0002544849
1844.252, 1885.074, 0.0002553373
1844.252, 1925.231, 0.0002562946
1844.252, 1965.373, 0.0002569729
1844.252, 2004.6, 0.000258644
1803.958, 1803.958, 0.0002536774
1803.958, 1844.971, 0.0002547732
1803.958, 1885.094, 0.0002560499
1803.958, 1925.249, 0.0002561303
1803.958, 1966.369, 0.0002566515
1803.958, 2004.618, 0.0002582608
1763.83, 1763.83, 0.0002523858
1763.83, 1804.633, 0.0002533369
1763.83, 1845.0, 0.0002547528
1763.83, 1885.109, 0.0002564368
1763.83, 1926.211, 0.0002565618
1763.83, 1966.387, 0.0002562679
1763.83, 2004.62, 0.0002569939
1723.712, 1723.712, 0.0002517326
1723.712, 1764.527, 0.000252157
1723.712, 1804.655, 0.0002534134
1723.712, 1845.008, 0.0002552124
1723.712, 1886.094, 0.0002564448
1723.712, 1926.225, 0.0002567518
1723.712, 1967.342, 0.0002560969
1723.712, 2004.625, 0.0002570685
1683.541, 1683.541, 0.0002505823
1683.541, 1724.387, 0.0002515622
1683.541, 1764.517, 0.0002522116
1683.541, 1805.649, 0.0002532496
1683.541, 1845.961, 0.0002556831
1683.541, 1886.102, 0.0002554531
1683.541, 1927.182, 0.0002562347
1683.541, 1967.351, 0.000257078
1683.541, 2004.627, 0.000257575
1644.388, 1644.388, 0.0002488508
1644.388, 1684.227, 0.0002507528
1644.388, 1724.406, 0.0002510237
1644.388, 1765.498, 0.0002534227
1644.388, 1805.657, 0.0002537293
1644.388, 1845.961, 0.0002540037
1644.388, 1887.13, 0.0002545741
1644.388, 1927.193, 0.000256249
1644.388, 1967.354, 0.000257672
1644.388, 2004.625, 0.000259805
1604.266, 1604.266, 0.0002477318
1604.266, 1644.089, 0.0002495202
1604.266, 1684.239, 0.0002509885
1604.266, 1725.378, 0.000252011
1604.266, 1765.509, 0.0002518274
1604.266, 1805.654, 0.0002531605
1604.266, 1846.932, 0.0002544027
1604.266, 1887.128, 0.0002572487
1604.266, 1927.188, 0.0002577339
1604.266, 1968.321, 0.0002580833
1604.266, 2004.632, 0.0002577085
1564.08, 1564.08, 0.0002472396
1564.08, 1603.969, 0.0002478872
1564.08, 1644.099, 0.0002497616
1564.08, 1685.199, 0.0002503661
1564.08, 1725.386, 0.0002512405
1564.08, 1765.514, 0.000252867
1564.08, 1806.638, 0.0002549618
1564.08, 1846.941, 0.0002558609
1564.08, 1887.132, 0.0002557283
1564.08, 1928.172, 0.0002562074
1564.08, 1968.329, 0.0002564609
1564.08, 2004.628, 0.0002573679
1523.894, 1523.894, 0.0002454815
1523.894, 1563.783, 0.0002473365
1523.894, 1603.981, 0.0002489139
1523.894, 1645.064, 0.0002486706
1523.894, 1685.208, 0.0002499302
1523.894, 1725.394, 0.0002519664
1523.894, 1766.483, 0.0002541375
1523.894, 1806.643, 0.0002534753
1523.894, 1847.908, 0.0002540763
1523.894, 1888.031, 0.0002545787
1523.894, 1928.182, 0.0002552889
1523.894, 1969.306, 0.0002569947
1523.894, 2004.634, 0.0002591887
1483.741, 1483.741, 0.0002450578
1483.741, 1523.603, 0.0002452716
1483.741, 1563.787, 0.0002465726
1483.741, 1604.931, 0.0002480114
