Journal	JournalFullName	ISSN	eISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
GEOPHYS PROSPECT	GEOPHYSICAL PROSPECTING	0016-8025	1365-2478	0.477	0.394	0.736	0.663	0.505	0.789	0.464	0.649	0.717	1.046	0.731	0.852	1.772	1.493	1.315	1.36	1.506	1.467	1.835	1.846	1.744	1.621	1.556	1.742	2.035	2.6	2.6
J APPL ICHTHYOL	JOURNAL OF APPLIED ICHTHYOLOGY	0175-8659	1439-0426	0.477	0.443	0.329	0.293	0.81	0.51	0.327	0.478	0.563	0.812	0.663	0.638	1.121	0.945	0.869	0.902	0.903	0.867	0.783	0.845	0.774	0.877	0.612	0.892	1.222	0.9	0.9
J FIELD ORNITHOL	JOURNAL OF FIELD ORNITHOLOGY	0273-8570	1557-9263	0.477	0.537	0.525	0.609	0.602	0.473	0.652	0.509	0.6	0.66	0.737	0.991	0.86	0.849	1.196	1.101	1.202	0.988	1.514	1.5	1.394	1.846	1.266	1.554	1.309	0.9	0.9
TENSIDE SURFACT DET	TENSIDE SURFACTANTS DETERGENTS	0932-3414	2195-8564	0.477	0.333	0.605	0.42	0.615	0.256	0.51	0.412	0.566	0.539	0.486	0.515	0.329	0.37	0.638	0.981	0.559	0.739	0.678	0.869	0.819	0.748	1.089	1.049	1.058	1.0	1.0
INT J SUST DEV WORLD	INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY	1350-4509	1745-2627	0.476	0.341	0.478	0.423	0.339	0.652	0.552	0.523	0.333	0.368	0.409	0.51	0.525	0.518	0.965	1.213	1.771	1.609	1.609	1.864	2.373	2.811	2.772	3.716	4.87	5.6	5.6
J ANAL CHEM+	JOURNAL OF ANALYTICAL CHEMISTRY	1061-9348	1608-3199	0.476	0.576	0.542	0.615	0.62	0.585	0.553	0.522	0.496	0.444	0.603	0.662	0.604	0.65	0.747	0.616	0.812	0.479	0.694	0.723	0.971	0.894	0.84	1.069	1.237	1.1	1.1
POTENTIAL ANAL	POTENTIAL ANALYSIS	0926-2601	1572-929X	0.476	0.31	0.316	0.5	0.519	0.264	0.385	0.57	0.521	0.657	0.507	0.566	0.753	0.853	0.943	0.959	1.048	0.992	0.956	1.026	0.852	1.031	1.353	1.416	1.096	1.1	1.1
VET CLIN N AM-EQUINE	VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE	0749-0739	1558-4224	0.476	0.4	0.77	0.309	0.622	0.615	0.573	0.566	0.766	0.833	0.402	0.656	0.789	1.221	0.884	1.634	1.054	0.436	0.921	0.812	0.791	1.113	0.77	1.792	2.203	1.1	1.1
AGR SYST	AGRICULTURAL SYSTEMS	0308-521X	1873-2267	0.475	0.894	0.854	0.63	0.815	0.824	1.041	0.871	0.937	1.378	1.677	1.708	2.11	2.907	2.899	2.504	2.453	2.906	2.867	2.571	3.004	4.131	4.212	5.37	6.765	6.6	6.6
COMPOS STRUCT	COMPOSITE STRUCTURES	0263-8223	1879-1085	0.475	0.276	0.359	0.468	0.556	0.786	0.659	0.796	0.953	1.002	1.116	1.454	2.006	2.036	2.24	2.231	3.12	3.318	3.853	3.858	4.101	4.829	5.138	5.407	6.603	6.3	6.3
J ALGEBR COMB	JOURNAL OF ALGEBRAIC COMBINATORICS	0925-9899	1572-9192	0.475	0.348	1.017	0.642	0.418	0.507	0.424	0.677	0.485	0.39	0.582	0.774	1.137	0.704	0.752	0.634	0.721	0.676	0.874	0.779	0.73	0.854	0.805	0.875	0.963	0.8	0.8
BIT	BIT NUMERICAL MATHEMATICS	0006-3835	1572-9125	0.474	0.623	0.45	0.99	0.835	0.549	0.565	0.562	0.509	0.841	0.695	0.902	0.648	0.821	0.724	0.977	1.156	0.957	1.167	1.67	1.425	1.451	1.33	1.663	1.856	1.5	1.5
LOW TEMP PHYS+	LOW TEMPERATURE PHYSICS	1063-777X	1090-6517	0.474	0.509	0.609	0.522	0.619	0.767	0.7	0.592	0.769	0.622	0.955	0.78	0.662	0.625	0.73	0.821	0.881	0.786	0.67	0.804	0.86	0.825	0.791	0.923	0.891	0.8	0.8
ORAL ONCOL	ORAL ONCOLOGY	1368-8375	1879-0593	0.474	1.265	1.396	1.69	1.606	1.873	1.876	2.0	2.266	2.103	2.569	2.928	3.123	2.871	2.857	2.695	3.029	3.607	4.286	4.794	4.636	3.73	3.979	5.337	5.972	4.8	4.8
REV MED INTERNE	REVUE DE MEDECINE INTERNE	0248-8663	N/A	0.474	0.295	0.436	0.375	0.393	0.396	0.362	0.475	0.445	0.478	0.466	0.56	0.508	0.512	0.614	0.899	1.323	1.074	0.905	1.126	1.169	0.81	0.783	0.728	0.885	0.9	0.9
TEXT RES J	TEXTILE RESEARCH JOURNAL	0040-5175	1746-7748	0.474	0.502	0.55	0.693	0.557	0.456	0.473	0.54	0.5	0.578	0.702	0.779	1.096	1.102	1.122	1.135	1.332	1.599	1.299	1.443	1.54	1.613	1.926	1.82	2.455	2.3	2.3
TRANSPORT RES A-POL	TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE	0965-8564	1879-2375	0.474	0.582	0.319	0.28	0.531	0.868	0.792	0.73	0.646	1.634	1.352	1.832	1.715	1.601	2.354	2.725	2.525	2.789	1.994	2.609	3.026	3.693	3.992	5.594	6.615	6.4	6.4
HEART LUNG	HEART & LUNG	0147-9563	1527-3288	0.473	0.377	0.574	0.62	0.943	0.862	0.936	0.951	0.863	0.955	1.043	1.094	1.036	1.508	1.318	1.404	1.32	1.29	1.332	1.657	1.73	1.84	1.63	2.21	3.149	2.8	2.8
INT J GAME THEORY	INTERNATIONAL JOURNAL OF GAME THEORY	0020-7276	1432-1270	0.473	0.535	0.333	0.365	0.473	0.233	0.653	0.244	0.169	0.411	0.338	0.462	0.527	0.593	0.3	0.584	0.432	0.579	0.577	0.713	0.5	0.615	0.565	0.462	0.649	0.6	0.6
ENDEAVOUR	ENDEAVOUR	0160-9327	1873-1929	0.472	1.093	0.764	0.189	0.065	0.233	0.024	0.125	0.327	0.174	0.289	0.154	0.167	0.245	0.226	0.173	0.261	0.217	0.255	0.302	0.5	1.068	0.303	0.444	0.6	0.6	0.6
FLUID DYN RES	FLUID DYNAMICS RESEARCH	0169-5983	1873-7005	0.472	0.394	0.451	0.427	0.438	0.567	0.766	0.62	0.58	0.538	0.935	1.012	0.897	1.089	0.673	0.758	0.656	0.99	0.846	0.677	0.94	0.993	0.918	1.067	1.5	1.5	1.5
OPT LASER ENG	OPTICS AND LASERS IN ENGINEERING	0143-8166	1873-0302	0.472	0.333	0.604	0.208	0.514	0.745	1.006	0.935	0.847	0.977	0.872	1.103	1.262	1.576	1.838	1.916	1.695	2.237	2.319	2.769	3.388	4.059	4.273	4.836	5.666	4.6	4.6
PREP BIOCHEM BIOTECH	PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY	1082-6068	1532-2297	0.472	0.447	0.684	0.467	0.654	0.41	0.656	0.865	0.608	0.585	0.685	0.683	0.686	0.603	0.466	0.406	0.699	0.911	1.114	1.361	1.241	1.117	1.415	2.162	3.141	2.9	2.9
ACTA ARITH	ACTA ARITHMETICA	0065-1036	1730-6264	0.471	0.484	0.484	0.413	0.458	0.484	0.481	0.406	0.345	0.345	0.41	0.467	0.508	0.496	0.435	0.472	0.421	0.423	0.564	0.563	0.476	0.416	0.421	0.608	0.59	0.7	0.7
APPL ENTOMOL ZOOL	APPLIED ENTOMOLOGY AND ZOOLOGY	0003-6862	1347-605X	0.471	0.497	0.495	0.5	0.613	0.422	0.459	0.448	0.58	0.77	0.789	0.699	0.616	0.835	1.14	0.819	0.877	1.144	1.102	0.888	0.857	1.013	1.109	1.403	1.504	1.3	1.3
CHILD NERV SYST	CHILDS NERVOUS SYSTEM	0256-7040	1433-0350	0.471	0.61	0.802	0.563	0.791	0.819	0.896	1.029	0.957	1.257	0.993	1.351	1.214	1.314	1.542	1.241	1.163	1.114	1.08	1.081	1.235	1.327	1.298	1.475	1.532	1.4	1.4
RANDOM STRUCT ALGOR	RANDOM STRUCTURES & ALGORITHMS	1042-9832	1098-2418	0.471	0.464	0.459	0.568	0.759	1.091	0.917	0.966	1.024	1.167	1.043	1.253	1.162	0.727	1.034	1.048	0.656	0.924	1.011	1.243	0.985	1.008	1.047	1.131	1.057	1.0	1.0
PHARMACOL RES	PHARMACOLOGICAL RESEARCH	1043-6618	1096-1186	0.47	0.615	0.715	0.805	0.863	0.991	1.144	1.498	2.096	2.421	2.355	3.287	3.929	3.612	4.436	4.346	3.976	4.408	4.816	4.48	4.897	5.574	5.893	7.658	10.334	9.3	9.3
CRYST RES TECHNOL	CRYSTAL RESEARCH AND TECHNOLOGY	0232-1300	1521-4079	0.469	0.797	0.576	0.522	0.536	0.505	0.652	0.77	0.833	0.863	0.768	0.921	0.896	0.948	0.946	1.12	1.164	0.935	0.908	1.0	1.122	1.09	1.169	1.639	1.599	1.5	1.5
KLIN MONATSBL AUGENH	KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE	0023-2165	1439-3999	0.469	0.413	0.423	0.406	0.521	0.534	0.495	0.478	0.412	0.679	0.576	0.47	0.542	0.407	0.51	0.699	0.665	0.542	0.689	0.651	0.882	0.792	0.605	0.7	0.742	0.8	0.8
ADV SPACE RES	ADVANCES IN SPACE RESEARCH	0273-1177	1879-1948	0.468	0.623	0.521	0.353	0.462	0.448	0.483	0.548	0.706	0.774	0.774	0.86	1.079	1.076	1.178	1.183	1.238	1.358	1.409	1.401	1.529	1.746	2.177	2.152	2.611	2.6	2.6
ADV SPACE RES	ASTROPHYSICS	0571-7256	1573-8191	0.468	0.623	0.521	0.353	0.462	0.448	0.483	0.548	0.706	0.774	0.774	0.86	1.079	1.076	1.178	1.183	1.238	1.358	1.409	1.401	1.529	1.746	2.177	2.152	2.611	0.5	0.5
BRAZ J MED BIOL RES	BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH	0100-879X	1414-431X	0.468	0.439	0.517	0.654	0.769	0.802	0.74	0.824	0.859	1.075	1.15	1.215	1.075	1.15	1.129	1.139	1.034	1.006	1.146	1.578	1.492	1.85	2.023	2.59	2.904	2.3	2.3
J HUM NUTR DIET	JOURNAL OF HUMAN NUTRITION AND DIETETICS	0952-3871	1365-277X	0.468	0.333	0.463	0.275	0.345	0.841	0.741	0.986	1.138	1.388	1.821	1.479	1.921	1.789	1.738	1.972	2.074	1.987	2.583	2.638	2.681	3.088	3.146	3.089	2.995	3.3	3.3
ENVIRON TOXICOL PHAR	ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY	1382-6689	1872-7077	0.467	0.814	0.707	1.071	1.268	1.271	1.28	1.253	0.905	1.119	1.281	1.051	1.293	1.378	1.469	2.005	1.862	2.084	2.187	2.313	2.776	3.061	3.292	4.86	5.785	4.3	4.3
GRASS FORAGE SCI	GRASS AND FORAGE SCIENCE	0142-5242	1365-2494	0.467	0.571	0.655	0.532	0.605	0.573	0.8	0.618	0.898	0.711	1.035	1.378	1.316	1.108	1.099	1.567	1.932	1.922	1.617	1.457	1.574	1.814	1.544	2.63	2.856	2.4	2.4
PHYSIOL MEAS	PHYSIOLOGICAL MEASUREMENT	0967-3334	1361-6579	0.467	0.506	0.886	0.905	0.989	1.16	1.159	1.257	1.066	1.438	1.412	1.691	1.43	1.567	1.677	1.496	1.617	1.808	1.576	2.058	2.006	2.246	2.309	2.833	2.688	3.2	3.2
PUBL ASTRON SOC AUST	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA	1323-3580	1448-6083	0.467	0.419	0.868	1.028	0.951	0.898	1.057	1.158	1.735	1.588	1.39	2.564	3.786	1.59	2.259	3.12	2.266	2.653	3.245	4.095	4.63	4.878	5.067	5.571	6.51	6.3	6.3
PUBL ASTRON SOC AUST	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA	1323-3580	1448-6083	0.467	0.419	0.868	1.028	0.951	0.898	1.057	1.158	1.735	1.588	1.39	2.564	3.786	1.59	2.259	3.12	2.266	2.653	3.245	4.095	4.63	4.878	5.067	5.571	6.51	6.3	6.3
PURE APPL GEOPHYS	PURE AND APPLIED GEOPHYSICS	0033-4553	1420-9136	0.467	0.612	0.689	0.757	0.728	0.922	0.767	0.84	0.975	1.171	0.86	1.004	0.938	1.091	1.787	1.617	1.854	1.618	1.677	1.591	1.652	1.466	1.586	2.335	2.641	2.0	2.0
COMPUT ELECTRON AGR	COMPUTERS AND ELECTRONICS IN AGRICULTURE	0168-1699	1872-7107	0.466	0.347	0.358	0.379	0.626	0.556	0.686	0.863	0.802	0.851	1.242	1.273	1.312	1.431	1.846	1.766	1.486	1.761	1.892	2.201	2.427	3.171	3.858	5.565	6.757	8.3	8.3
J APPL MECH-T ASME	JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME	0021-8936	1528-9036	0.466	0.554	0.635	0.78	0.651	0.628	1.081	1.012	0.752	0.943	0.956	1.065	0.915	0.62	0.949	1.041	1.395	1.37	1.394	2.133	2.127	2.772	2.671	2.168	2.794	2.6	2.6
J GASTROENTEROL	JOURNAL OF GASTROENTEROLOGY	0944-1174	1435-5922	0.466	0.796	0.819	0.99	1.199	1.504	1.179	1.209	1.532	1.927	2.052	3.117	2.909	3.61	4.16	3.788	4.02	4.523	4.414	0.165	5.561	5.13	6.132	7.527	6.772	6.3	6.3
MAG CONCRETE RES	MAGAZINE OF CONCRETE RESEARCH	0024-9831	1751-763X	0.466	0.5	0.364	0.506	0.512	0.422	0.271	0.465	0.245	0.379	0.317	0.315	0.373	0.52	0.5	0.563	0.759	0.912	1.227	1.156	1.488	2.026	2.088	2.503	2.46	2.7	2.7
NUMER HEAT TR B-FUND	NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS	1040-7790	1521-0626	0.466	0.5	0.776	0.511	1.033	0.709	1.052	0.598	0.833	0.913	1.043	1.282	1.238	1.029	2.054	1.955	1.548	1.172	1.33	1.663	1.758	1.216	1.6	1.586	1.378	1.0	1.0
IEEE T KNOWL DATA EN	IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING	1041-4347	1558-2191	0.465	0.513	0.662	1.0	1.04	1.055	1.223	1.243	1.758	2.063	1.896	2.236	2.285	1.851	1.657	1.892	1.815	2.067	2.476	3.438	2.775	3.857	4.935	6.977	9.235	8.9	8.9
APPL RADIAT ISOTOPES	APPLIED RADIATION AND ISOTOPES	0969-8043	1872-9800	0.464	0.598	0.641	0.716	0.635	0.768	0.69	1.0	0.757	0.924	1.008	1.114	1.094	0.999	1.172	1.179	1.056	1.231	1.136	1.128	1.123	1.343	1.27	1.513	1.787	1.6	1.6
COMPOS MATH	COMPOSITIO MATHEMATICA	0010-437X	1570-5846	0.463	0.676	0.639	0.6	0.447	0.601	0.662	0.906	0.758	0.675	0.882	0.993	1.246	0.941	1.187	1.024	1.043	0.993	1.069	1.312	1.252	1.301	1.2	1.456	1.387	1.8	1.8
J CRANIO MAXILL SURG	JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY	1010-5182	1878-4119	0.463	0.36	0.704	0.636	0.724	0.75	0.7	0.991	1.017	1.171	0.955	1.36	1.252	1.54	1.643	1.61	2.597	2.933	1.592	1.583	1.96	1.942	1.766	2.078	3.192	3.1	3.1
SILVAE GENET	SILVAE GENETICA	0037-5349	2509-8934	0.463	0.483	0.513	0.312	0.354	0.244	0.261	0.356	0.34	0.311	0.545	0.667	0.543	0.689	0.778	0.44	0.24	0.278	0.236	0.25	0.277	0.741	1.111	0.795	1.282	1.0	1.0
ACI MATER J	ACI MATERIALS JOURNAL	0889-325X	1944-737X	0.462	0.629	0.552	0.531	0.503	0.632	0.614	0.579	0.419	0.764	0.67	0.568	0.896	1.023	0.803	0.826	1.123	0.909	1.154	1.183	1.252	1.453	1.483	1.802	1.661	1.7	1.7
FISH RES	FISHERIES RESEARCH	0165-7836	1872-6763	0.462	0.463	0.443	0.65	0.876	1.079	0.956	0.932	1.16	1.216	1.196	1.434	1.531	1.656	1.586	1.695	1.843	1.903	2.23	2.185	1.874	2.343	2.147	2.422	2.815	2.4	2.4
MED MALADIES INFECT	MEDECINE ET MALADIES INFECTIEUSES	0399-077X	N/A	0.461	0.374	0.244	0.201	0.304	0.339	0.342	0.145	0.188	0.267	0.458	0.621	0.459	0.484	0.723	0.753	0.912	1.237	1.422	2.349	1.307	1.289	1.782	2.152	5.965	5.0	5.0
ANGLE ORTHOD	ANGLE ORTHODONTIST	0003-3219	1945-7103	0.46	0.442	0.648	0.704	0.594	0.656	0.612	0.782	0.778	0.777	0.972	1.166	0.937	1.0	1.207	1.184	1.277	1.225	1.579	1.366	1.592	1.88	1.549	2.079	2.684	3.4	3.4
EUR J DERMATOL	EUROPEAN JOURNAL OF DERMATOLOGY	1167-1122	1952-4013	0.46	0.464	0.445	0.746	0.846	0.807	0.987	0.963	1.288	1.303	1.294	1.968	2.251	2.421	2.526	1.756	1.953	1.99	2.069	2.243	1.944	3.094	2.782	3.328	2.805	2.5	2.5
OPHTHALMOLOGICA	OPHTHALMOLOGICA	0030-3755	1423-0267	0.46	0.484	0.557	0.494	0.843	0.647	0.663	0.645	0.986	1.051	1.063	1.093	1.028	1.303	1.424	1.412	1.867	1.676	1.515	1.742	1.605	1.781	1.926	3.25	3.757	2.6	2.6
ACTA CRYSTALLOGR C	ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY	2053-2296	2053-2296	0.459	0.557	0.581	0.543	0.57	0.659	0.828	0.728	0.777	0.896	0.719	0.561	0.782	0.745	0.518	0.492	0.535	0.326	0.479	4.099	8.678	0.93	1.09	1.172	1.184	0.8	0.8
INT J CONTROL	INTERNATIONAL JOURNAL OF CONTROL	0020-7179	1366-5820	0.459	0.518	0.53	0.705	0.736	0.861	0.912	0.702	0.989	0.866	0.861	1.13	1.124	0.848	0.977	1.008	1.137	1.654	1.88	2.208	2.101	2.93	2.78	2.888	2.102	2.1	2.1
J GEOM ANAL	JOURNAL OF GEOMETRIC ANALYSIS	1050-6926	1559-002X	0.459	0.814	0.814	0.814	0.814	0.814	0.814	0.814	0.814	0.814	0.846	0.806	0.646	0.978	0.761	0.864	0.867	0.971	1.109	0.87	0.996	0.959	0.924	1.183	1.002	1.1	1.1
ACTA PHYS POL B	ACTA PHYSICA POLONICA B	0587-4254	1509-5770	0.458	0.574	0.583	0.479	0.574	0.601	0.752	0.687	0.807	0.882	0.664	0.767	0.648	0.671	0.901	1.011	0.998	0.85	0.795	0.904	0.875	0.609	0.651	0.748	0.556	0.5	0.5
COMPUT METH PROG BIO	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE	0169-2607	1872-7565	0.458	0.664	0.729	0.581	0.559	0.57	0.724	0.686	0.788	0.624	0.887	1.22	1.144	1.238	1.516	1.555	1.093	1.897	1.862	2.503	2.674	3.424	3.632	5.428	7.027	6.1	6.1
IMA J APPL MATH	IMA JOURNAL OF APPLIED MATHEMATICS	0272-4960	1464-3634	0.458	0.449	0.615	0.873	0.459	0.78	0.404	0.627	0.569	0.725	0.642	0.585	0.701	0.653	0.776	1.173	1.194	0.947	1.034	0.945	1.369	1.505	1.49	0.845	1.146	1.2	1.2
SEMICONDUCTORS+	SEMICONDUCTORS	1063-7826	1090-6479	0.458	0.446	0.565	0.598	0.575	0.674	0.643	0.561	0.615	0.624	0.674	0.565	0.637	0.605	0.627	0.6	0.705	0.739	0.701	0.602	0.672	0.691	0.641	0.674	0.66	0.7	0.7
TRANSPORT RES C-EMER	TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES	0968-090X	1879-2359	0.458	0.265	0.279	0.189	0.171	0.478	0.896	1.085	0.651	0.767	0.875	1.082	1.706	1.702	1.957	2.006	2.82	2.818	3.075	3.805	3.968	5.775	6.077	8.089	9.022	8.3	8.3
AM J PERINAT	AMERICAN JOURNAL OF PERINATOLOGY	0735-1631	1098-8785	0.457	0.725	0.71	0.616	0.497	0.603	0.859	0.664	0.685	0.72	0.829	1.158	1.126	1.118	1.316	1.574	1.597	1.905	1.677	1.455	1.623	1.581	1.474	1.862	3.079	2.0	2.0
CURR MED RES OPIN	CURRENT MEDICAL RESEARCH AND OPINION	0300-7995	1473-4877	0.455	0.688	0.714	1.0	1.612	1.922	2.727	2.928	2.945	3.062	2.962	2.596	2.498	2.609	2.38	2.263	2.372	2.653	2.643	2.757	2.665	2.345	2.271	2.58	2.705	2.3	2.3
ECOL FOOD NUTR	ECOLOGY OF FOOD AND NUTRITION	0367-0244	1543-5237	0.455	0.039	0.477	0.375	0.222	0.215	0.15	0.159	0.213	0.481	0.383	0.311	0.184	0.577	0.765	0.8	0.78	0.807	0.894	0.922	1.343	1.138	1.066	1.692	1.763	1.8	1.8
INT J HUM-COMPUT ST	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES	1071-5819	1095-9300	0.455	0.685	0.627	0.333	0.471	0.918	0.739	1.222	1.348	1.094	1.364	1.769	2.38	1.6	1.171	1.415	1.165	1.293	1.476	2.863	2.3	2.006	3.163	3.632	4.866	5.4	5.4
J BIOL REG HOMEOS AG	JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS	0393-974X	1724-6083	0.455	0.386	1.184	0.803	0.71	0.603	0.748	0.898	0.99	1.0	0.543	2.957	3.167	2.825	5.183	2.406	2.406	2.04	1.546	1.469	1.397	1.558	1.506	1.711	2.843	3.2	3.2
ACTA VIROL	ACTA VIROLOGICA	0001-723X	1336-2305	0.454	0.5	0.476	0.558	0.644	0.66	0.683	0.605	0.696	0.788	0.56	0.81	0.746	0.547	0.682	0.759	1.037	1.28	1.222	0.673	0.696	0.554	0.793	1.162	1.827	1.7	1.7
GEOTECH TEST J	GEOTECHNICAL TESTING JOURNAL	0149-6115	1945-7545	0.453	0.265	0.256	0.269	0.238	0.267	0.294	0.36	0.38	0.333	0.468	0.462	0.526	0.558	0.505	0.246	0.605	0.654	0.663	0.806	1.279	1.295	1.289	1.469	1.82	1.6	1.6
FOOT ANKLE INT	FOOT & ANKLE INTERNATIONAL	1071-1007	1944-7876	0.452	0.461	0.82	0.493	0.611	0.69	0.687	0.829	0.749	0.94	0.956	1.061	1.101	1.092	1.218	1.474	1.626	1.506	1.896	1.872	2.653	2.341	2.292	2.827	3.569	2.7	2.7
IEEE J OCEANIC ENG	IEEE JOURNAL OF OCEANIC ENGINEERING	0364-9059	1558-1691	0.452	0.711	0.556	0.5	0.727	0.7	0.55	1.159	0.873	1.259	0.825	0.89	1.096	1.402	0.95	1.157	1.325	1.175	1.648	2.297	2.065	2.567	3.005	3.554	3.883	4.1	4.1
J RECONSTR MICROSURG	JOURNAL OF RECONSTRUCTIVE MICROSURGERY	0743-684X	1098-8947	0.452	0.425	0.494	0.621	0.762	0.624	0.715	0.796	0.548	0.467	0.722	0.766	0.642	0.83	1.432	1.0	1.006	1.312	1.734	2.216	1.865	1.837	1.841	2.873	2.329	2.1	2.1
PHYS CHEM LIQ	PHYSICS AND CHEMISTRY OF LIQUIDS	0031-9104	1029-0451	0.452	0.563	0.689	0.267	0.404	0.533	0.397	0.478	0.915	0.743	0.854	0.621	0.58	0.555	0.603	0.813	0.517	0.783	1.111	1.145	1.215	1.526	1.707	1.915	1.838	1.2	1.2
POLAR RES	POLAR RESEARCH	0800-0395	1751-8369	0.452	0.37	0.414	0.246	0.833	0.604	1.12	1.362	0.882	1.074	0.778	1.276	0.909	1.444	1.616	1.622	1.686	1.141	1.728	2.146	1.5	1.152	1.127	1.612	1.847	1.9	1.9
S AFR J BOT	SOUTH AFRICAN JOURNAL OF BOTANY	0254-6299	1727-9321	0.452	0.136	0.379	0.317	0.522	0.394	0.462	0.464	0.577	0.648	0.444	1.113	1.08	1.106	1.659	1.409	1.34	0.978	1.244	1.427	1.442	1.504	1.792	2.315	3.111	3.1	3.1
STUD MATH	STUDIA MATHEMATICA	0039-3223	1730-6337	0.452	0.348	0.295	0.477	0.399	0.399	0.41	0.527	0.538	0.515	0.568	0.398	0.645	0.567	0.6	0.549	0.63	0.61	0.623	0.535	0.617	0.75	0.955	1.023	0.914	0.8	0.8
ZOOL ANZ	ZOOLOGISCHER ANZEIGER	0044-5231	0044-5231	0.452	0.543	0.833	0.893	0.732	0.961	0.679	0.694	0.75	0.775	0.865	1.319	1.595	1.846	1.415	1.4	1.821	1.483	1.512	1.2	1.345	1.601	1.366	1.521	1.581	1.4	1.4
INT POLYM PROC	INTERNATIONAL POLYMER PROCESSING	0930-777X	2195-8602	0.451	0.5	0.49	0.514	0.529	0.742	0.56	0.69	0.466	0.563	0.73	0.521	0.637	0.404	0.345	0.573	0.682	0.512	0.523	0.634	0.535	0.942	0.781	0.824	0.92	1.3	1.3
J ELECTROMAGNET WAVE	JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS	0920-5071	1569-3937	0.451	0.237	0.407	0.285	0.298	0.238	0.311	0.284	0.285	0.524	1.844	3.134	1.551	1.378	2.965	1.395	1.395	0.726	0.772	0.85	0.864	1.351	1.373	1.335	1.438	1.3	1.3
DOC OPHTHALMOL	DOCUMENTA OPHTHALMOLOGICA	0012-4486	1573-2622	0.45	0.419	0.289	1.239	1.239	1.239	1.239	1.239	1.239	1.712	0.938	1.1	1.837	2.187	2.107	1.542	1.108	1.631	1.444	1.918	2.362	1.46	1.294	2.379	1.854	1.4	1.4
GENES GENET SYST	GENES & GENETIC SYSTEMS	1341-7568	1880-5779	0.45	0.742	1.206	1.074	1.036	0.978	0.802	1.118	1.081	0.898	1.215	1.433	1.391	1.273	0.952	1.132	0.87	0.93	1.339	0.703	0.913	0.859	0.917	1.517	1.258	1.1	1.1
J INT MED RES	JOURNAL OF INTERNATIONAL MEDICAL RESEARCH	0300-0605	1473-2300	0.45	0.363	0.535	0.62	0.7	0.779	0.628	0.523	0.653	0.665	0.75	0.821	0.938	1.068	0.896	0.958	1.095	1.438	1.431	1.323	1.023	1.351	1.287	1.671	1.573	1.6	1.6
TRIBOL INT	TRIBOLOGY INTERNATIONAL	0301-679X	1879-2464	0.45	0.528	0.572	0.555	0.494	0.613	0.874	0.913	1.026	1.132	1.025	1.423	1.69	1.56	1.553	1.536	2.124	1.936	2.259	2.903	3.246	3.517	4.271	4.872	5.62	6.2	6.2
CHILD CARE HLTH DEV	CHILD CARE HEALTH AND DEVELOPMENT	0305-1862	1365-2214	0.449	0.433	0.765	0.636	0.435	0.583	0.614	0.74	0.789	0.877	1.396	1.154	1.137	1.308	1.201	1.7	1.832	1.692	1.754	1.445	1.699	1.918	1.828	2.508	2.943	1.9	1.9
J LOND MATH SOC	JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES	0024-6107	1469-7750	0.449	0.406	0.39	0.362	0.441	0.566	0.569	0.663	0.696	0.617	0.733	0.809	0.798	0.828	0.789	0.804	0.884	0.82	0.872	0.895	0.892	1.131	1.121	1.137	0.88	1.2	1.2
MICROPALEONTOLOGY	MICROPALEONTOLOGY	0026-2803	1937-2795	0.449	0.273	0.529	0.456	0.472	0.935	0.415	0.485	0.451	0.789	0.647	0.448	0.923	0.561	0.569	0.706	0.429	0.429	0.696	0.464	0.877	0.4	1.361	1.605	1.942	1.5	1.5
AM J OTOLARYNG	AMERICAN JOURNAL OF OTOLARYNGOLOGY	0196-0709	1532-818X	0.448	0.41	0.494	0.452	0.497	0.383	0.671	0.518	0.574	0.737	0.771	0.845	1.016	1.136	0.87	1.228	1.078	0.984	0.933	1.033	1.046	0.932	1.267	1.808	2.873	2.5	2.5
