Journal	JournalFullName	ISSN	eISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
CHEM REV	CHEMICAL REVIEWS	0009-2665	1520-6890	18.286	20.228	21.244	20.036	21.044	20.993	21.036	20.233	20.869	26.054	22.757	23.592	35.957	33.036	40.197	41.298	45.661	46.568	37.369	47.928	52.613	54.301	52.758	60.622	72.087	62.1	62.1
CURR OPIN CELL BIOL	CURRENT OPINION IN CELL BIOLOGY	0955-0674	1879-0410	18.133	22.904	25.631	22.754	21.568	19.022	18.176	15.422	15.246	14.299	13.444	12.543	14.153	13.54	12.897	11.41	8.736	8.467	8.851	9.937	10.015	8.233	8.24	8.382	8.386	7.5	7.5
ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY	0066-4278	1545-1585	17.386	13.23	19.797	18.848	12.753	15.931	18.591	16.672	13.359	15.356	18.875	19.74	18.17	16.106	20.827	19.547	14.696	18.51	15.754	11.115	14.327	17.902	19.556	19.318	22.163	18.2	18.2
ANNU REV PHYSIOL	ANNUAL REVIEW OF PHYSIOLOGY	0066-4278	1545-1585	17.386	13.23	19.797	18.848	12.753	15.931	18.591	16.672	13.359	15.356	18.875	19.74	18.17	16.106	20.827	19.547	14.696	18.51	15.754	11.115	14.327	17.902	19.556	19.318	22.163	18.2	18.2
TRENDS NEUROSCI	TRENDS IN NEUROSCIENCES	0166-2236	1878-108X	17.084	18.463	19.925	17.417	16.475	14.474	12.631	14.794	14.325	13.494	12.479	12.817	12.794	13.32	14.235	13.582	12.902	13.555	12.504	11.124	11.439	12.314	12.891	13.837	16.978	15.9	15.9
LANCET	LANCET	0140-6736	1474-547X	16.135	11.793	10.197	10.232	13.251	15.397	18.316	21.713	23.878	25.8	28.638	28.409	30.758	33.633	38.278	39.06	39.207	45.217	44.002	47.831	53.254	59.102	60.392	79.321	202.731	168.9	168.9
NEURON	NEURON	0896-6273	1097-4199	15.821	16.505	16.782	15.081	14.153	13.846	14.109	14.439	14.304	13.894	13.41	14.17	13.26	14.027	14.736	15.766	15.982	15.054	13.974	14.024	14.318	14.403	14.415	17.173	18.688	16.2	16.2
ANNU REV PHARMACOL	ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY	0362-1642	1545-4304	15.132	20.8	21.175	19.289	20.795	19.678	21.786	21.104	19.833	22.808	21.696	21.561	22.468	19.238	21.639	21.543	18.523	18.365	14.769	12.877	13.295	12.103	11.25	13.82	16.459	12.5	12.5
ANNU REV PHARMACOL	ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY	0362-1642	1545-4304	15.132	20.8	21.175	19.289	20.795	19.678	21.786	21.104	19.833	22.808	21.696	21.561	22.468	19.238	21.639	21.543	18.523	18.365	14.769	12.877	13.295	12.103	11.25	13.82	16.459	12.5	12.5
FASEB J	FASEB JOURNAL	0892-6638	1530-6860	14.629	13.861	11.88	9.249	8.817	7.252	7.172	6.82	7.064	6.721	6.791	7.049	6.401	6.515	5.712	5.704	5.48	5.043	5.299	5.498	5.595	5.391	4.966	5.191	5.834	4.8	4.8
J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE	0022-1007	1540-9538	14.384	15.882	15.651	15.236	15.34	15.837	15.302	14.588	13.965	14.484	15.612	15.463	14.505	14.776	13.853	13.214	13.912	12.515	11.24	11.991	10.79	10.892	11.743	14.307	17.579	15.3	15.3
ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH	0001-4842	1520-4898	14.045	12.887	11.795	13.262	12.781	15.901	15.0	13.154	13.141	17.113	16.214	12.176	18.203	21.852	21.64	20.833	24.348	22.323	22.003	20.268	20.955	21.661	20.832	22.384	24.466	18.3	18.3
EMBO J	EMBO JOURNAL	0261-4189	1460-2075	12.643	13.171	13.973	13.999	12.459	10.698	10.456	10.492	10.053	10.086	8.662	8.295	8.993	10.124	9.205	9.822	10.748	10.434	9.643	9.792	10.557	11.227	9.889	11.598	14.012	11.4	11.4
REV MOD PHYS	REVIEWS OF MODERN PHYSICS	0034-6861	1539-0756	12.623	13.439	16.833	12.774	12.762	23.672	28.172	32.771	30.254	33.508	38.403	33.985	33.145	51.695	43.933	44.982	42.86	29.604	33.177	36.917	36.367	38.296	45.037	54.494	50.485	44.1	44.1
