Journal	JournalFullName	ISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
NEURON	NEURON	0896-6273	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	7.884	8.296	8.265	8.265	8.508	8.763	8.682	8.682	8.439	8.624	8.382	8.643	8.274	9.339	9.162	9.162
ANNU REV PHARMACOL	ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY	0362-1642	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.378	7.76	7.676	7.988	8.269	8.037	7.056	6.942	6.372	5.619	5.485	5.318	4.298	4.269	3.884	3.884
FASEB J	FASEB JOURNAL	0892-6638	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.614	2.52	2.521	2.243	2.185	2.097	1.973	1.878	1.808	1.732	1.675	1.549	1.48	1.304	1.304
J EXP MED	JOURNAL OF EXPERIMENTAL MEDICINE	0022-1007	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.658	7.785	7.396	7.972	7.834	7.525	7.174	6.843	6.631	7.132	6.038	5.54	5.557	6.394	6.138	6.138
ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH	0001-4842	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	5.925	6.387	7.076	7.299	7.951	7.988	7.573	7.326	7.435	7.125	6.606	6.244	6.27	5.952	5.952
EMBO J	EMBO JOURNAL	0261-4189	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.419	5.16	5.552	5.299	4.867	5.172	5.568	5.082	4.902	5.239	5.384	5.334	4.972	5.39	5.194	5.194
REV MOD PHYS	REVIEWS OF MODERN PHYSICS	0034-6861	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	24.877	24.369	31.178	28.9	32.565	32.037	31.158	27.008	23.824	19.497	19.803	21.102	22.105	22.014	22.014
TRENDS PHARMACOL SCI	TRENDS IN PHARMACOLOGICAL SCIENCES	0165-6147	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.305	3.334	3.677	3.721	3.518	3.649	3.521	3.41	3.636	3.798	3.888	3.946	4.005	4.02	4.02
ANNU REV GENET	ANNUAL REVIEW OF GENETICS	0066-4197	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	10.338	12.137	12.952	12.134	11.447	12.073	10.699	9.278	8.863	7.043	6.627	5.965	7.152	7.617	7.617
ANN INTERN MED	ANNALS OF INTERNAL MEDICINE	0003-4819	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.27	6.772	7.438	7.912	7.71	7.416	8.134	7.75	8.579	9.222	9.538	9.842	11.43	15.653	15.653
J CELL BIOL	JOURNAL OF CELL BIOLOGY	0021-9525	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.641	5.748	5.776	5.579	5.441	5.492	5.406	5.007	4.56	4.764	4.446	4.124	4.314	3.703	3.703
CRIT REV BIOCHEM MOL	CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY	1040-9238	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.385	6.186	5.965	4.431	3.811	3.702	3.255	3.374	3.345	3.29	2.983	3.045	3.144	2.941	2.941
ADV IMMUNOL	ADVANCES IN IMMUNOLOGY	0065-2776	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	4.182	3.413	4.675	4.182	4.037	3.503	3.494	2.994	0.0	2.491	2.736	2.695	3.046	2.245	2.245
ADV CATAL	ADVANCES IN CATALYSIS	0360-0564	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	2.471	3.118	2.989	1.573	1.533	2.155	3.287	1.923	2.012	2.394	1.474	2.18	2.602	2.478	2.478
TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY	0962-8924	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.13	6.904	6.795	6.523	6.196	5.861	5.581	5.442	6.258	7.205	6.815	7.285	7.928	7.412	7.412
GASTROENTEROLOGY	GASTROENTEROLOGY	0016-5085	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.956	4.032	4.234	4.514	4.665	4.877	5.132	5.681	6.258	7.268	6.596	6.597	8.235	9.237	9.237
AM J HUM GENET	AMERICAN JOURNAL OF HUMAN GENETICS	0002-9297	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.42	5.783	6.219	5.867	5.976	5.087	5.381	5.676	5.556	5.239	5.272	5.444	5.728	5.593	5.593
HUM BRAIN MAPP	HUMAN BRAIN MAPPING	1065-9471	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.387	2.757	2.328	2.382	2.592	2.44	2.288	2.088	1.944	1.894	1.784	1.735	1.844	1.723	1.723
MOL CELL BIOL	MOLECULAR AND CELLULAR BIOLOGY	0270-7306	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.43	3.435	3.25	3.019	2.778	2.686	2.402	2.166	2.15	2.024	1.76	1.527	1.545	1.461	1.461
CURR OPIN GENET DEV	CURRENT OPINION IN GENETICS & DEVELOPMENT	0959-437X	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	4.678	4.701	4.681	4.378	4.377	4.317	3.736	3.102	2.975	2.888	2.608	2.542	2.48	2.255	2.255
TRENDS GENET	TRENDS IN GENETICS	0168-9525	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	4.637	4.414	4.787	4.476	4.735	5.233	4.82	4.823	5.202	4.972	4.716	5.225	5.232	5.285	5.285
DEVELOPMENT	DEVELOPMENT	0950-1991	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.933	4.18	3.75	3.676	3.353	3.395	3.098	2.867	2.863	2.828	2.798	2.686	2.979	2.738	2.738
CIRCULATION	CIRCULATION	0009-7322	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.791	5.055	5.317	5.973	6.02	5.9	6.333	6.828	6.93	7.195	8.025	8.609	10.668	12.771	12.771
PLANT CELL	PLANT CELL	1040-4651	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	4.35	4.532	4.059	3.752	3.795	3.815	3.474	3.291	3.563	3.438	3.643	3.669	3.93	3.549	3.549
J CLIN INVEST	JOURNAL OF CLINICAL INVESTIGATION	0021-9738	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.469	7.152	7.227	6.951	6.401	6.309	6.118	5.959	6.189	5.992	5.4	5.229	6.017	6.169	6.169
ANNU REV ASTRON ASTR	ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS	0066-4146	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	14.444	15.407	15.76	17.157	17.223	18.988	22.835	19.063	20.813	20.671	20.576	16.566	15.755	16.626	16.626
ANN NEUROL	ANNALS OF NEUROLOGY	0364-5134	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.337	3.585	3.995	4.188	4.423	4.184	4.176	4.36	4.485	4.452	4.246	4.007	4.411	4.429	4.429
BLOOD	BLOOD	0006-4971	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.371	3.503	3.711	3.692	3.41	3.697	3.627	3.889	4.022	4.516	4.804	4.979	6.288	7.898	7.898
Q REV BIOPHYS	QUARTERLY REVIEWS OF BIOPHYSICS	0033-5835	5.513	5.513	5.513	5.513	5.513	5.513	5.513	5.513	5.513	5.513	5.513	6.042	6.838	6.412	8.532	7.111	6.186	5.03	4.387	3.598	3.223	3.051	2.873	2.634	2.637	2.637
JAMA-J AM MED ASSOC	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	0098-7484	10.644	10.644	10.644	10.644	10.644	10.644	10.644	10.644	10.644	10.644	10.644	11.148	11.421	12.439	13.111	13.116	13.16	14.418	16.023	17.762	19.947	21.339	21.712	26.376	39.056	39.056
PHYS REP	PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	0370-1573	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.06	8.74	11.84	10.744	11.699	12.261	11.422	9.627	9.029	8.548	8.665	8.993	9.047	10.523	10.523
CA-CANCER J CLIN	CA-A CANCER JOURNAL FOR CLINICIANS	0007-9235	16.308	16.308	16.308	16.308	16.308	16.308	16.308	16.308	16.308	16.308	16.308	17.518	20.925	24.729	24.536	29.408	34.798	39.508	40.137	41.14	40.949	46.113	56.503	79.154	75.654	75.654
CURR OPIN IMMUNOL	CURRENT OPINION IN IMMUNOLOGY	0952-7915	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.905	3.98	4.236	4.136	4.062	3.747	3.316	3.018	3.237	2.974	2.757	2.699	2.829	2.649	2.649
P NATL ACAD SCI USA	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	0027-8424	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.847	4.86	4.951	4.896	4.879	4.878	4.733	4.691	4.721	4.529	4.493	4.448	4.791	4.654	4.654
MOL BIOL CELL	MOLECULAR BIOLOGY OF THE CELL	1059-1524	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.178	3.259	3.14	2.721	2.607	2.485	2.189	2.071	1.842	1.876	1.838	1.698	1.762	1.534	1.534
ANNU REV MICROBIOL	ANNUAL REVIEW OF MICROBIOLOGY	0066-4227	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.059	7.72	7.353	7.43	7.025	7.466	7.105	6.683	5.954	5.346	5.056	5.409	6.104	5.55	5.55
