-2.004732 -0.210332 -0.210436
-1.964764 -0.210318 -0.210086
-1.924607 -0.209397 -0.209644
-1.884472 -0.209356 -0.209179
-1.844322 -0.208648 -0.208624
-1.803877 -0.208036 -0.208017
-1.763977 -0.207231 -0.207484
-1.723900 -0.206952 -0.207088
-1.683697 -0.207276 -0.206644
-1.644556 -0.205511 -0.205954
-1.604416 -0.205311 -0.205193
-1.564261 -0.204350 -0.204376
-1.524079 -0.203649 -0.203488
-1.483929 -0.202459 -0.202569
-1.443791 -0.201531 -0.201766
-1.403647 -0.201153 -0.201107
-1.363481 -0.200538 -0.200395
-1.323337 -0.199651 -0.199446
-1.283175 -0.198159 -0.198272
-1.243063 -0.196973 -0.197077
-1.202825 -0.195980 -0.195986
-1.162686 -0.194793 -0.195007
-1.122479 -0.194227 -0.194053
-1.082424 -0.193139 -0.192899
-1.042261 -0.191540 -0.191463
-1.002062 -0.189592 -0.189964
-0.962880 -0.188801 -0.188672
-0.922722 -0.187307 -0.187502
-0.882370 -0.186294 -0.186408
-0.842405 -0.185605 -0.185175
-0.802245 -0.183842 -0.183510
-0.762081 -0.181237 -0.181586
-0.721981 -0.179539 -0.179880
-0.681828 -0.178316 -0.178568
-0.641688 -0.177850 -0.177340
-0.601393 -0.175864 -0.175737
-0.561280 -0.173853 -0.173698
-0.521146 -0.171253 -0.171468
-0.480997 -0.169163 -0.169383
-0.440738 -0.167323 -0.167588
-0.400682 -0.165805 -0.165921
-0.360545 -0.164587 -0.163849
-0.321393 -0.161076 -0.161012
-0.281176 -0.157610 -0.157365
-0.241073 -0.152845 -0.153505
-0.200902 -0.149397 -0.149917
-0.160791 -0.146614 -0.146507
-0.120629 -0.142936 -0.142534
-0.080485 -0.137691 -0.137338
-0.040363 -0.130826 -0.130740
-0.000217 -0.123091 -0.122970
0.039933 -0.113739 -0.114516
0.080104 -0.105627 -0.105711
0.120215 -0.096124 -0.096324
0.160394 -0.086376 -0.085650
0.200546 -0.073732 -0.073108
0.240740 -0.058986 -0.058770
0.280788 -0.043325 -0.043625
0.320996 -0.027917 -0.028754
0.360157 -0.015137 -0.015312
0.400314 -0.002508 -0.002515
0.440421 0.009537 0.009751
0.480580 0.021248 0.021995
0.520735 0.034279 0.034275
0.560873 0.046832 0.045961
0.601010 0.056807 0.056468
0.641270 0.065780 0.066087
0.681398 0.075147 0.075477
0.721552 0.084804 0.085130
0.761678 0.095001 0.095012
0.801809 0.104917 0.104748
0.841982 0.114271 0.113899
0.882116 0.122609 0.122251
0.922550 0.130031 0.130137
0.962425 0.137243 0.138052
1.002601 0.146226 0.146608
1.041766 0.155547 0.155128
1.081965 0.163388 0.163239
1.122083 0.171032 0.170156
1.162236 0.175516 0.175854
1.202392 0.180831 0.180982
1.242638 0.185580 0.186117
1.282734 0.190855 0.191420
1.322886 0.197112 0.196450
1.363011 0.201083 0.200250
1.403187 0.202484 0.202541
1.443333 0.203789 0.203941
1.483443 0.204953 0.205189
1.523607 0.205947 0.206814
1.563786 0.209364 0.208876
1.603979 0.210936 0.210712
1.644077 0.212076 0.211937
1.683239 0.212692 0.212533
1.723389 0.212910 0.212720
1.763509 0.212446 0.212898
1.803628 0.213061 0.213597
1.843818 0.215013 0.214849
1.884059 0.216281 0.216120
1.924176 0.217249 0.216934
1.964332 0.217335 0.217089
2.004483 0.216377 0.216763
