1.964880 0.225864
1.985336 0.226275
2.004983 0.226372

1.925770 0.225742
1.964717 0.225936
2.004902 0.226375

1.885575 0.224590
1.925586 0.224833
1.965699 0.226119
2.004905 0.225820

1.846480 0.224459
1.886376 0.224664
1.926514 0.225201
1.966674 0.225864
2.004919 0.225481

1.806121 0.223129
1.846290 0.223906
1.886384 0.224604
1.926518 0.225659
1.966673 0.224826
2.004916 0.226222

1.766946 0.222706
1.806908 0.223060
1.847238 0.223858
1.887406 0.224644
1.927485 0.224711
1.966680 0.225533
2.004911 0.226784

1.726823 0.222040
1.766758 0.222155
1.806908 0.223140
1.847233 0.223286
1.887402 0.224671
1.927482 0.224320
1.967649 0.225813
2.004906 0.224970

1.687616 0.221257
1.727618 0.221635
1.767756 0.222162
1.807900 0.222929
1.847234 0.224293
1.887401 0.223833
1.927475 0.224972
1.967643 0.225228
2.004899 0.225288

1.647482 0.220501
1.687430 0.220793
1.727617 0.221775
1.767753 0.221768
1.807894 0.223473
1.848195 0.223038
1.888339 0.224075
1.928457 0.224494
1.968674 0.224471
2.004888 0.225739

1.608296 0.219359
1.648276 0.220149
1.688407 0.221123
1.727618 0.221734
1.767752 0.221581
1.807885 0.223379
1.848184 0.222677
1.888327 0.224013
1.928445 0.223515
1.968669 0.225396
2.004890 0.224905

1.568167 0.218330
1.608112 0.219254
1.648282 0.220168
1.688408 0.220836
1.728680 0.221387
1.768712 0.221971
1.808846 0.222888
1.849141 0.223004
1.889285 0.224124
1.929423 0.223669
1.969576 0.225496
2.004876 0.224491

1.528907 0.217614
1.568938 0.218626
1.608108 0.218829
1.648273 0.220036
1.688398 0.220994
1.728680 0.220929
1.768708 0.222785
1.808831 0.221870
1.849135 0.223684
1.889270 0.222938
1.929407 0.225037
1.969564 0.223806
2.004871 0.225473

1.488774 0.216636
1.528726 0.217140
1.568936 0.218377
1.609085 0.219424
1.649229 0.219382
1.689375 0.221022
1.729562 0.220886
1.769677 0.221923
1.809794 0.222206
1.850113 0.223070
1.889264 0.223867
1.929402 0.224328
1.969558 0.224860
2.004863 0.224352

1.449584 0.215581
1.488576 0.216067
1.528720 0.217516
1.568931 0.217660
1.609080 0.218497
1.649219 0.220144
1.689363 0.219419
1.729557 0.221766
1.769676 0.221312
1.809795 0.223328
1.850109 0.222366
1.890230 0.224363
1.930451 0.223740
1.970527 0.224799
2.004857 0.224610

1.409422 0.214816
1.449398 0.215821
1.489541 0.216901
1.529708 0.217517
1.569915 0.217689
1.610045 0.219564
1.650203 0.219158
1.690436 0.220665
1.730526 0.220670
1.769669 0.222125
1.809786 0.221934
1.850099 0.223090
1.890223 0.223067
1.930435 0.224337
1.970511 0.224090
2.004848 0.224813

1.369254 0.213692
1.409235 0.214285
1.449391 0.215702
1.489527 0.215767
1.529699 0.217538
1.569905 0.217857
1.610036 0.218448
1.650191 0.220077
1.690427 0.219965
1.730517 0.221180
1.770620 0.221096
1.810752 0.222529
1.851092 0.222285
1.891190 0.223691
1.931319 0.223490
1.971483 0.224723
2.004844 0.224296

1.330100 0.212398
1.370052 0.213516
1.410202 0.214968
1.450424 0.215165
1.490515 0.216194
1.530687 0.217859
1.570885 0.217748
1.610040 0.219332
1.650189 0.219066
1.690426 0.221135
1.730510 0.220278
1.770616 0.222444
1.810739 0.221666
1.851081 0.223448
1.891178 0.222608
1.931306 0.224374
1.971471 0.224085
2.004824 0.225545

1.289944 0.211418
1.329908 0.212459
1.370040 0.213402
1.410193 0.214202
1.450413 0.216258
1.490500 0.215952
1.530668 0.217861
1.570869 0.217542
1.610996 0.218686
1.651142 0.219523
1.691321 0.220395
1.731448 0.220860
1.771571 0.221769
1.811701 0.221980
1.852011 0.223413
1.891159 0.223021
1.931285 0.224492
1.971454 0.224260
2.004814 0.225343

1.250788 0.210429
1.290730 0.211398
1.330887 0.212399
1.371010 0.213925
1.411161 0.214820
1.451336 0.215156
1.490496 0.216824
1.530655 0.216756
1.570856 0.218571
1.610983 0.217975
1.651136 0.220230
1.691311 0.220083
1.731444 0.221243
1.771560 0.221094
1.811693 0.222908
1.851997 0.222303
1.892189 0.224075
1.932250 0.224032
1.972418 0.224729
2.004805 0.224826

1.210519 0.209261
1.250605 0.210428
1.290727 0.211430
1.330885 0.212524
1.371006 0.213100
1.411151 0.214604
1.451322 0.215020
1.491461 0.217114
1.531609 0.216592
1.571824 0.218776
1.611954 0.218091
1.652174 0.220571
1.692281 0.219606
1.732416 0.221428
1.771548 0.221217
1.811679 0.223106
1.851983 0.222635
1.892177 0.224037
1.932237 0.223905
1.972410 0.225155
2.004791 0.223930

1.171330 0.207787
1.211337 0.208986
1.251580 0.210149
1.291687 0.211515
1.331838 0.211818
1.371001 0.213706
1.411152 0.214198
1.451323 0.215063
1.491458 0.216005
