Date	Credits	Hours	Spent	
09/12/2018	161.75	134.75	
08/12/2018	217.5	169.5	
07/12/2018	228.25	180.25	
06/12/2018	12.75	8.5	
29/11/2018	24	12	
19/11/2018	217.25	177.75	
18/11/2018	255.75	209.25	
17/11/2018	231	189	
16/11/2018	233	188	
15/11/2018	57.25	31.75	
14/11/2018	48	24	
13/11/2018	48	24	
12/11/2018	48	24	
11/11/2018	48	24	
10/11/2018	46.5	23.25	
24/10/2018	8.25	5.5	
23/10/2018	72	48	
22/10/2018	67.5	43.5	
21/10/2018	5	2.5	
19/10/2018	64.25	42.75	
18/10/2018	39	21.75	
17/10/2018	12	6	
15/10/2018	50.25	30	
14/10/2018	38	19	
12/10/2018	60	36	
11/10/2018	25	15	
09/10/2018	130	101	
08/10/2018	201	155.25	
07/10/2018	233.5	189.25	
06/10/2018	525	546.75	
05/10/2018	480.5	495.5	
04/10/2018	504	504	
03/10/2018	504	504	
02/10/2018	504	504	
01/10/2018	504	504	
30/9/2018	312.25	307.5	
29/9/2018			-20000
29/9/2018			-6000
22/9/2018	30	20	
21/9/2018	72	48	
20/9/2018	40	26.5	
19/9/2018	160	150	
18/9/2018	28	26.25	
17/9/2018	216	202.5	
11/9/2018	304	285	
10/9/2018	293	250.25	
09/9/2018	264	216	
08/9/2018	264	216	
07/9/2018	90.75	74.25	
06/9/2018	170.5	139.5	
05/9/2018	264	216	
04/9/2018	264	216	
03/9/2018	165	135	
02/9/2018	278.25	230.75	
01/9/2018	131	87.5	
31/8/2018	18	12	
30/8/2018	144	96	
29/8/2018	138	92	
28/8/2018	108	72	
27/8/2018	122.75	74.75	
26/8/2018	122.5	74.5	
25/8/2018	153.5	105.5	
24/8/2018	139.5	93	
23/8/2018	139.5	93	
22/8/2018	135	90	
21/8/2018	144	96	
20/8/2018	300	253.5	
19/8/2018	312	264	
18/8/2018	312	264	
17/8/2018	324	280.5	
16/8/2018	172.25	125.5	
15/8/2018	402	375.5	
14/8/2018	404.25	378.75	
13/8/2018	312	264	
12/8/2018	312	264	
11/8/2018	312	264	
10/8/2018	120.25	101.75	
29/7/2018	168.5	141.5	
28/7/2018	210	163.5	
27/7/2018	192	144	
26/7/2018	189.75	142.25	
25/7/2018	192	144	
24/7/2018	34.25	25.5	
18/7/2018	4	2	
17/7/2018	27.75	18.75	
16/7/2018	168	120	
15/7/2018	168	120	
14/7/2018	168	120	
13/7/2018	166.25	118.75	
12/7/2018	157.25	109.75	
11/7/2018	118.75	71.25	
10/7/2018	118.75	71.25	
09/7/2018	119.25	72.25	
08/7/2018	118.75	71.25	
07/7/2018	118.75	71.25	
06/7/2018	118.75	71.25	
05/7/2018	118.75	71.25	
04/7/2018	482.25	367.75	
01/7/2018	192	144	
30/6/2018	192	144	
29/6/2018	192	144	
28/6/2018	192	144	
27/6/2018	192	144	
26/6/2018	192	144	
25/6/2018	195.75	147.75	
24/6/2018	216	168	
23/6/2018	156.75	108.75	
22/6/2018	144	96	
21/6/2018	144	96	
20/6/2018	388.75	363	
19/6/2018	512.5	540.5	
18/6/2018	468.5	454.5	
17/6/2018	456	432	
16/6/2018	456	432	
15/6/2018	456	432	
14/6/2018	456	432	
13/6/2018	456	432	
12/6/2018	456	432	
11/6/2018	456	432	
10/6/2018	456	432	
09/6/2018	513	531.75	
08/6/2018	454.25	493.75	
07/6/2018	550	596.5	
06/6/2018	552	600	
05/6/2018	552	600	
04/6/2018	552	600	
03/6/2018	552	600	
02/6/2018	546.25	593.75	
01/6/2018	552	600	
31/5/2018	523.25	568.75	
30/5/2018	552	600	
29/5/2018	552	600	
28/5/2018	552	600	
27/5/2018	540.5	587.5	
26/5/2018	552	576	
25/5/2018	663.5	780.75	
24/5/2018	696	840	
23/5/2018	789.5	1045.75	
22/5/2018	816	1104	
21/5/2018	816	1100.25	
20/5/2018	816	1080	
19/5/2018	816	1080	
18/5/2018	802	1055.5	
17/5/2018	720	912	
16/5/2018	720	912	
15/5/2018	720	912	
14/5/2018	744	966.5	
13/5/2018	712	901.25	
12/5/2018	243.75	282.5	
11/5/2018	223.5	260	
10/5/2018	601	698	
09/5/2018	570	641.25	
08/5/2018	594.5	683.75	
07/5/2018	149.25	167.25	
06/5/2018	419.5	454	
05/5/2018	792	1032	
04/5/2018	792	1032	
03/5/2018	792	1032	
02/5/2018	714.5	892.25	
01/5/2018	687	850	
30/4/2018	683.25	841.5	
29/4/2018	161	195.5	
28/4/2018	709.75	884.75	
27/4/2018	744	936	
26/4/2018	744	936	
25/4/2018	643.5	763.5	
24/4/2018	161.75	183.75	
23/4/2018	615.75	711.75	
22/4/2018	706.25	883.75	
21/4/2018	696	864	
20/4/2018	193.75	152.25	
19/4/2018	652.75	768.5	
18/4/2018	688.5	847.75	
17/4/2018	672	792	
16/4/2018	692.5	839.5	
15/4/2018	557.75	609.5	
14/4/2018	589.25	682.5	
13/4/2018	192	208	
11/4/2018	204	221	
10/4/2018	576	624	
09/4/2018	408.25	440.75	
08/4/2018	572.5	620.5	
07/4/2018	552	600	
06/4/2018	552	600	
05/4/2018	506	534	
04/4/2018	462.5	464	
03/4/2018	504	504	
02/4/2018	504	504	
01/4/2018	477.5	477.5	
31/3/2018	152.75	129.25	
29/3/2018	182	154	
28/3/2018	368.5	334.5	
27/3/2018	412.5	391	
26/3/2018	408	384	
25/3/2018	408	384	
24/3/2018	408	384	
23/3/2018	400.75	376.75	
22/3/2018	446.5	422	
21/3/2018	456	432	
20/3/2018	434.5	410.5	
19/3/2018	432	408	
18/3/2018	453.75	452	
17/3/2018	456	456	
16/3/2018	456	456	
15/3/2018	437	437	
14/3/2018	161.5	161.5	
13/3/2018	456	456	
12/3/2018	456	456	
11/3/2018	456	456	
10/3/2018	409.25	386	
09/3/2018	408	384	
08/3/2018	408	384	
07/3/2018	408	384	
06/3/2018	408	384	
05/3/2018	408	384	
04/3/2018	408	384	
03/3/2018	391.25	350.5	
02/3/2018	202.5	174.5	
01/3/2018	288	240	
28/2/2018	243	202.5	
27/2/2018	288	240	
26/2/2018	298	252.5	
25/2/2018	204	170	
24/2/2018	183.75	136.5	
23/2/2018	216	168	
22/2/2018	21	16.25	
11/2/2018	675.5	812	
10/2/2018	771.75	1073	
09/2/2018	672	816	
08/2/2018	649	768	
07/2/2018	562.25	664.5	
06/2/2018	648	768	
05/2/2018	648	768	
04/2/2018	648	768	
03/2/2018	648	768	
02/2/2018	648	768	
01/2/2018	615.25	717.25	
31/1/2018	600	696	
30/1/2018	322.75	373.5	
29/1/2018	600	696	
28/1/2018	600	696	
27/1/2018	600	696	
26/1/2018	580	670.5	
25/1/2018	587.25	647	
24/1/2018	554	600.5	
23/1/2018	544.5	589.25	
22/1/2018	350	360.25	
21/1/2018	480	480	
20/1/2018	468	474	
19/1/2018	384	367.5	
18/1/2018	432	408	
17/1/2018	453	429	
16/1/2018	456	432	
15/1/2018	133.25	125.25	
14/1/2018	352	343.5	
13/1/2018	408	384	
12/1/2018	405	381	
11/1/2018	393.5	369.5	
10/1/2018	432	408	
09/1/2018	475.75	481.25	
08/1/2018	522	559	
07/1/2018	474.5	486	
06/1/2018	491	500	
05/1/2018	447	446.5	
04/1/2018	456	456	
03/1/2018	456	456	
02/1/2018	365	363	
01/1/2018	456	456	
31/12/2017	456	456	
30/12/2017	451.25	433.25	
29/12/2017	426	413.25	
28/12/2017	445.5	419.5	
27/12/2017	130	97	
26/12/2017	100.75	67	
25/12/2017	96.75	61.75	
24/12/2017	168	133.5	
23/12/2017	127.5	98.5	
22/12/2017	59	47.25	
21/12/2017	154.75	118.5	
20/12/2017	117.75	90.75	
19/12/2017	213.75	166.25	
18/12/2017	91.25	70.5	
17/12/2017	125.25	79.25	
16/12/2017	120	72	
15/12/2017	120	72	
14/12/2017	120	72	
13/12/2017	120	72	
12/12/2017	85.5	54.75	
11/12/2017	76.5	51	
10/12/2017	116.25	69.75	
09/12/2017	120	72	
08/12/2017	120	72	
07/12/2017	103	61.75	
06/12/2017	23.5	15.5	
01/12/2017	3	1.5	
30/11/2017	341	322	
29/11/2017	445.5	430.25	
28/11/2017	432	408	
27/11/2017	432	408	
26/11/2017	432	408	
25/11/2017	432	408	
24/11/2017	432	408	
23/11/2017	341	302.25	
22/11/2017	60.25	39.75	
21/11/2017	72	48	
20/11/2017	55	34.75	
19/11/2017	53.25	29.25	
18/11/2017	150.75	106.25	
17/11/2017	168	120	
16/11/2017	168	120	
15/11/2017	168	120	
14/11/2017	168	120	
13/11/2017	168	120	
12/11/2017	140	99.5	
04/11/2017	79.5	53	
03/11/2017	142.25	94.75	
02/11/2017	144	96	
01/11/2017	144	96	
31/10/2017	124.5	82.75	
30/10/2017	54.75	36.5	
22/10/2017	132.75	136.75	
21/10/2017	352	368	
20/10/2017	528	552	
19/10/2017	528	552	
18/10/2017	528	552	
17/10/2017	490.75	511.25	
16/10/2017	528	552	
15/10/2017	528	552	
14/10/2017	504.5	528.5	
13/10/2017	504	524.25	
12/10/2017	504	504	
11/10/2017	504	504	
10/10/2017	504	504	
09/10/2017	504	504	
08/10/2017	368.75	359	
07/10/2017	202.5	154.5	
06/10/2017	164	123	
05/10/2017	133	133	
04/10/2017	456	456	
03/10/2017	456	456	
02/10/2017	456	456	
01/10/2017	456	456	
30/9/2017	415.5	387.25	
29/9/2017	383.75	335.75	
28/9/2017	313.5	265.5	
27/9/2017	312	264	
26/9/2017	310.5	262.5	
25/9/2017	281	233	
24/9/2017	187.25	139.25	
23/9/2017	172	124.5	
22/9/2017	119.5	71.75	
21/9/2017	120	72	
20/9/2017	90.5	57.25	
19/9/2017	72	48	
18/9/2017	146	103.5	
17/9/2017	55.5	30	
16/9/2017	17	8.5	
14/9/2017	8.75	6.25	
13/9/2017	168	120	
12/9/2017	150.5	107.5	
10/9/2017	154	110	
09/9/2017	168	120	
08/9/2017	168	120	
07/9/2017	129.25	89.25	
06/9/2017	72	48	
05/9/2017	77.5	50.75	
04/9/2017	136	90.75	
03/9/2017	68.75	44.75	
02/9/2017	63	35.25	
01/9/2017	144	96	
31/8/2017	140.75	92.75	
30/8/2017	116.5	70.25	
29/8/2017	67.5	45	
23/8/2017	3.25	2	
22/8/2017	55	45	
21/8/2017	277.5	230.5	
20/8/2017	288	240	
19/8/2017	288	240	
18/8/2017	288	240	
17/8/2017	333	285	
16/8/2017	313.5	269	
15/8/2017	398.25	371	
14/8/2017	323.75	282.5	
13/8/2017	288	240	
12/8/2017	288	240	
11/8/2017	266.25	218.25	
10/8/2017	238.75	190.75	
09/8/2017	216	168	
08/8/2017	216	168	
07/8/2017	220.25	172.25	
06/8/2017	193.75	145.75	
05/8/2017	106.25	66.75	
27/7/2017	47.25	31.5	
24/7/2017	105.75	64.25	
23/7/2017	122	74	
22/7/2017	120	72	
21/7/2017	135.5	87.5	
20/7/2017	125.5	77.5	
19/7/2017	51	26	
18/7/2017	48	24	
17/7/2017	138	91.5	
16/7/2017	128	84	
15/7/2017	48	24	
14/7/2017	81.25	52.5	
13/7/2017	48	24	
12/7/2017	141.75	132	
11/7/2017	552	576.25	
10/7/2017	500.75	507.5	
09/7/2017	408	380.75	
08/7/2017	336	288	
07/7/2017	248.5	191	
05/7/2017	158	110	
04/7/2017	218	170	
03/7/2017	276.5	228.5	
02/7/2017	193.25	157.75	
01/7/2017	48	32	
30/6/2017	43.5	28.75	
28/6/2017	36.25	18.25	
27/6/2017	25.5	17	
26/6/2017	57.5	37.75	
25/6/2017	201.75	156.25	
24/6/2017	216	168	
23/6/2017	213.75	166.25	
22/6/2017	188.5	140.5	
21/6/2017	74.25	52.75	
19/6/2017	41.25	27.5	
18/6/2017	67.25	44.75	
13/6/2017	77.25	49.25	
12/6/2017	384	336	
11/6/2017	266	218	
10/6/2017	11.75	9.25	
09/6/2017	5	2.5	
08/6/2017	48	24	
07/6/2017	217	172.25	
06/6/2017	240	192	
05/6/2017	337.5	289.5	
04/6/2017	272	226.5	
03/6/2017	258.25	210.25	
02/6/2017	212	164	
01/6/2017	168	120	
31/5/2017	335.75	287.75	
30/5/2017	175	141.75	
29/5/2017	72	48	
28/5/2017	68.25	44.25	
27/5/2017	48	24	
26/5/2017	48	24	
25/5/2017	42	21	
23/5/2017	30	15	
22/5/2017	40	20	
16/5/2017	48	40	
15/5/2017	288	240	
14/5/2017	138.25	105.25	
13/5/2017	48	24	
12/5/2017	4.5	2.25	
08/5/2017	150	112.5	
07/5/2017	215.25	167.25	
06/5/2017	82.5	63.75	
03/5/2017	49.75	25.75	
02/5/2017	185.5	146.25	
01/5/2017	264	216	
30/4/2017	219.75	179.75	
27/4/2017	36.5	19.5	
26/4/2017	40	20	
22/4/2017	71.5	60.5	
21/4/2017	264.5	217.75	
20/4/2017	48	24	
19/4/2017	114.5	68.5	
18/4/2017	112.5	67.5	
17/4/2017	114	68.25	
16/4/2017	175	129.25	
15/4/2017	168.75	121.75	
14/4/2017	22.75	13.5	
12/4/2017	180	140	
11/4/2017	222.5	174.5	
10/4/2017	182.5	141.5	
07/4/2017	46.5	23.25	
06/4/2017	71	47.25	
05/4/2017	5.25	3.5	
04/4/2017	277.75	232.25	
03/4/2017	392	361.25	
02/4/2017	330.75	283.25	
01/4/2017	336	288	
31/3/2017	332.75	284.75	
30/3/2017	275.75	227.75	
29/3/2017	10.5	7.75	
27/3/2017	32.5	16.25	
26/3/2017	6	3	
24/3/2017	71.25	47.5	
23/3/2017	23.25	15.5	
21/3/2017	63.75	55.25	
20/3/2017	345	299	
19/3/2017	351.75	304.25	
18/3/2017	332.5	285	
17/3/2017	323.5	277	
15/3/2017	42.75	28.5	
14/3/2017	44.25	29.5	
13/3/2017	126	84	
12/3/2017	3.25	2	
09/3/2017	352.25	319.75	
08/3/2017	187.75	139.75	
07/3/2017	166.75	119	
06/3/2017	176	128	
05/3/2017	193.25	152.25	
01/3/2017	74.75	49.5	
28/2/2017	18.75	12.5	
27/2/2017	103.5	69	
26/2/2017	144	96	
25/2/2017	106.25	67.25	
22/2/2017	10.5	7	
21/2/2017	60	39.75	
20/2/2017	63	42	
19/2/2017	71.25	47.5	
18/2/2017	58.5	39	
15/2/2017	28	14	
14/2/2017	35.5	17.75	
13/2/2017	80.75	52	
12/2/2017	115.5	77.75	
09/2/2017	3.5	1.75	
08/2/2017	45	22.5	
06/2/2017	54.75	36.5	
05/2/2017	72.5	47.75	
04/2/2017	66.25	47.25	
28/1/2017	38	28.5	
27/1/2017	59.5	44.5	
25/1/2017	43.75	30.75	
24/1/2017	93.5	58.5	
13/1/2017	79.75	53	
10/1/2017	50.25	33.25	
06/1/2017	9	4.5	
05/1/2017	46.5	23.25	
04/1/2017	92.75	79.75	
03/1/2017	617	729.75	
02/1/2017	672	816	
01/1/2017	672	816	
31/12/2016	664	800	
30/12/2016	597	681	
29/12/2016	495.25	527.25	
28/12/2016	383.75	339.75	
27/12/2016	114.5	85	
26/12/2016	65.5	40	
25/12/2016	232.5	188.25	
24/12/2016	264.25	221.75	
23/12/2016	48	24	
22/12/2016	48	24	
21/12/2016	133.5	95.5	
20/12/2016	286.75	238.75	
19/12/2016	151.75	103.75	
18/12/2016	95	57	
15/12/2016	74	49	
14/12/2016	38.25	25	
13/12/2016	9.5	4.75	
12/12/2016	40.25	20.75	
09/12/2016	35	17.5	
08/12/2016	64	40	
07/12/2016	39.5	25.75	
06/12/2016	72	48	
05/12/2016	72	48	
04/12/2016	14.25	9.5	
25/11/2016	165	137.5	
24/11/2016	223.75	175.75	
23/11/2016	169.5	121.5	
22/11/2016	176	128	
21/11/2016	189	146.5	
20/11/2016	182	141.5	
19/11/2016	178.25	137.75	
18/11/2016	445.25	438.75	
17/11/2016	477.25	478.5	
16/11/2016	500.5	500.5	
15/11/2016	613.75	706.5	
14/11/2016	648	768	
13/11/2016	563.25	637.5	
12/11/2016	267.75	219.75	
11/11/2016	288	240	
10/11/2016	161	133.5	
25/10/2016	81	54	
24/10/2016	58.25	38.75	
20/10/2016	24.5	17.5	
19/10/2016	47.5	32	
18/10/2016	49	25	
17/10/2016	15.5	7.75	
16/10/2016	21	14	
15/10/2016	144	96	
14/10/2016	43.25	28.75	
12/10/2016	7	3.5	
10/10/2016	38.5	19.25	
09/10/2016	4	2	
08/10/2016	5	2.5	
07/10/2016	86.75	50	
06/10/2016	1.5	1	
27/9/2016	4.5	2.25	
26/9/2016	40.5	20.25	
25/9/2016	22.5	15	
24/9/2016	122.25	74.25	
23/9/2016	75.25	49.5	
22/9/2016	17.25	11.5	
21/9/2016	30.5	15.25	
20/9/2016	13.5	6.75	
19/9/2016	36.25	27.25	
18/9/2016	134	89.5	
17/9/2016	48	24	
16/9/2016	49.25	25.25	
15/9/2016	49.5	25.5	
14/9/2016	48	24	
13/9/2016	48	24	
12/9/2016	48	24	
11/9/2016	2.5	1.25	
05/9/2016	124.75	82.75	
04/9/2016	3.25	2	
02/9/2016	23	11.5	
01/9/2016	17	8.5	
30/8/2016	40	30	
27/8/2016	64.5	43	
26/8/2016	11.75	7.75	
23/8/2016	1	0.5	
21/8/2016	22	11	
19/8/2016	29	14.5	
10/8/2016	115	69	
09/8/2016	213.75	169	
08/8/2016	303.25	242.25	
06/8/2016	76.75	65.25	
05/8/2016	251.75	205.75	
04/8/2016	185	145.5	
03/8/2016	264	216	
02/8/2016	451	369	
31/7/2016	194	146	
30/7/2016	8.75	5.75	
23/7/2016	10.5	10	
22/7/2016	6	3.5	
21/7/2016	19.5	11	
13/7/2016	55.5	57.75	
10/7/2016	76.5	49.75	
09/7/2016	130.25	87.25	
08/7/2016	118.75	83	
05/7/2016	0.5	0.25	
30/6/2016	24	12.5	
29/6/2016	22.5	11.75	
28/6/2016	32.75	19.25	
27/6/2016	26.5	15	
26/6/2016	37	20	
25/6/2016	51.75	31.5	
24/6/2016	15	9	
23/6/2016	27.5	16.5	
22/6/2016	55.5	35	
21/6/2016	31.5	17	
20/6/2016	32.5	17.75	
19/6/2016	36.5	18.5	
15/6/2016	11	7	
14/6/2016	2	1.25	
08/6/2016	13	8	
07/6/2016	53.5	37.5	
06/6/2016	9	8.25	
30/5/2016	22	16.75	
29/5/2016	72.75	55.25	
28/5/2016	119	107.25	
27/5/2016	37	20.25	
26/5/2016	37	21	
25/5/2016	4	2	
17/5/2016	51.5	36.5	
16/5/2016	99.75	66.25	
15/5/2016	82.75	53.5	
03/5/2016	24	16	
26/4/2016	6	3	
18/4/2016	3.5	1.75	
16/4/2016	18.5	9.25	
11/4/2016	21.5	10.75	
10/4/2016	26	13	
09/4/2016	0.5	0.25	
09/4/2016	34	17	
29/3/2016	33.5	16.75	
28/3/2016	37	18.5	
27/3/2016	17.5	8.75	
26/3/2016	37.5	18.75	
24/3/2016	31.5	15.75	
23/3/2016	216	177.5	
22/3/2016	25	20.5	
20/3/2016	1.5	0.75	
19/3/2016	70	42	
18/3/2016	108	64.25	
17/3/2016	46.5	23.25	
16/3/2016	46.5	23.25	
15/3/2016	46.5	23.25	
14/3/2016	38.25	22.5	
09/3/2016	11	5.5	
08/3/2016	23	11.5	
07/3/2016	0.5	0.25	
07/3/2016	48	29.75	
06/3/2016	40	20.75	
05/3/2016	35.5	17.75	
04/3/2016	35.5	17.75	
03/3/2016	40	25.25	
01/3/2016	7.5	3.75	
15/2/2016	65	39	
14/2/2016	113.75	68.25	
13/2/2016	113.75	68.25	
12/2/2016	116	70	
11/2/2016	19.25	11	
10/2/2016	85.25	50	
09/2/2016	71	39.75	
08/2/2016	38	19	
03/2/2016	66.75	44.5	
02/2/2016	57	38	
28/1/2016	61.5	39	
27/1/2016	18.75	12.5	
26/1/2016	41.25	27.5	
25/1/2016	57.5	38.25	
22/1/2016	12.5	6.25	
20/1/2016	128.25	99.75	
19/1/2016	33.5	26	
11/1/2016	16.25	9.75	
10/1/2016	91	55.25	
05/1/2016	109	84.5	
03/1/2016	21.25	12.75	
02/1/2016	100	59	
01/1/2016	30.5	15.25	
31/12/2015	27	13.5	
28/12/2015	1.75	1	
26/12/2015	1.75	1	
21/12/2015	7.5	5.75	
09/12/2015	142.5	114	
08/12/2015	16	11	
04/12/2015	10.5	5.25	
03/12/2015	50.5	30.25	
30/11/2015	4.75	3.75	
16/11/2015	6.5	3.25	
15/11/2015	5	2.5	
10/11/2015	0.5	0.25	
09/11/2015	33	16.5	
08/11/2015	46.5	23.25	
07/11/2015	123	84.25	
06/11/2015	0.75	0.5	
15/10/2015	1.25	0.75	
29/9/2015	4.5	2.25	
28/9/2015	25	12.5	
26/9/2015	35.25	17.75	
22/9/2015	2	1	
10/9/2015	105	63	
09/9/2015	14.25	9	
04/9/2015	91.5	61	
03/9/2015	34.25	22.5	
01/9/2015	2.5	1.5	
31/8/2015	128.5	86.75	
27/8/2015	396	374	
26/8/2015	382	360.25	
25/8/2015	0.5	0.25	
22/8/2015	47.25	31.5	
21/8/2015	20.25	13.5	
17/8/2015	28	14	
16/8/2015	19	9.5	
10/8/2015	153.5	125.5	
09/8/2015	312	264	
08/8/2015	359.5	312.25	
07/8/2015	384	336	
06/8/2015	384	336	
05/8/2015	372.5	324.5	
04/8/2015	360	312	
03/8/2015	311.25	263.25	
02/8/2015	256.25	208.25	
01/8/2015	315.25	280.75	
31/7/2015	398	378.25	
30/7/2015	253	205	
29/7/2015	180	132	
28/7/2015	82.5	58.75	
25/7/2015	23.25	15.5	
24/7/2015	8	5.25	
20/7/2015	30	15	
19/7/2015	48	24	
18/7/2015	48	24	
17/7/2015	48	24	
16/7/2015	50	26	
15/7/2015	62	39.75	
13/7/2015	91.25	54.75	
12/7/2015	120	72	
11/7/2015	63.25	38.5	
03/7/2015	2	1	
02/7/2015	41.25	27.5	
01/7/2015	7.5	4.75	
29/6/2015	8.5	4.75	
28/6/2015	2	1	
25/6/2015	31.5	15.75	
24/6/2015	4.5	2.25	
22/6/2015	15.25	10	
21/6/2015	152.25	108.75	
20/6/2015	97.5	63.75	
19/6/2015	26.5	13.25	
11/6/2015	166.5	125	
10/6/2015	31.25	22.75	
04/6/2015	96	64	
03/6/2015	15.5	10.25	
31/5/2015	3	2	
30/5/2015	60.25	40	
28/5/2015	71.75	47.75	
21/5/2015	32.75	21.75	
07/5/2015	0.5	0.25	
30/4/2015	0.5	0.25	
23/4/2015	4	2	
22/4/2015	0.5	0.25	
19/4/2015	24	12	
17/4/2015	88.75	52.75	
16/4/2015	122	74	
15/4/2015	10	6.25	
10/4/2015	3	1.5	
09/4/2015	7.5	3.75	
08/4/2015	42.25	29	
06/4/2015	24	12	
05/4/2015	34.5	22.75	
01/4/2015	7.5	3.75	
28/3/2015	66.75	44.5	
27/3/2015	6.75	4.5	
25/3/2015	5	3	
24/3/2015	5.25	3.5	
23/3/2015	29.5	14.75	
22/3/2015	48	24	
21/3/2015	1	0.5	
19/3/2015	60	51	
15/3/2015	10.5	7	
14/3/2015	15.75	10.5	
11/3/2015	16.5	8.25	
09/3/2015	0.5	0.25	
05/3/2015	1	0.5	
27/2/2015	1	0.5	
23/2/2015	36.75	24.5	
20/2/2015	72.5	43.5	
19/2/2015	35.75	21.5	
16/2/2015	33.5	16.75	
13/2/2015	7	3.5	
08/2/2015	87	52.25	
04/2/2015	26.5	13.75	
01/2/2015	29	14.5	
31/1/2015	40.5	20.25	
29/1/2015	1.75	1	
26/1/2015	38	24.25	
25/1/2015	10.5	5.25	
24/1/2015	61	37	
23/1/2015	17.75	11.75	
20/1/2015	35.25	22.75	
12/1/2015	0.75	0.5	
08/1/2015	0.75	0.5	
02/1/2015	0.5	0.25	
31/12/2014	0.5	0.25	
28/12/2014	1.5	1	
27/12/2014	47.25	36.25	
26/12/2014	28.5	20.5	
20/12/2014	15	9	
19/12/2014	103.25	62	
18/12/2014	22	11	
16/12/2014	30	19.5	
13/12/2014	17.5	9	
11/12/2014	1	0.5	
01/12/2014	4	2	
30/11/2014	78.25	55.75	
22/11/2014	13.5	9	
21/11/2014	3.75	2.5	
20/11/2014	3	1.5	
17/11/2014	36	24	
16/11/2014	62.75	41.5	
15/11/2014	50.75	36.25	
14/11/2014	71.75	51.25	
13/11/2014	274	229.5	
12/11/2014	301.75	253.75	
11/11/2014	258.25	211.5	
10/11/2014	214	166	
09/11/2014	192	144	
08/11/2014	171.5	123.5	
07/11/2014	141	93	
06/11/2014	91.5	57.75	
05/11/2014	54	30	
04/11/2014	32.25	21.5	
29/10/2014	29	14.5	
28/10/2014	55	31	
27/10/2014	66	42	
26/10/2014	56.75	37.5	
24/10/2014	3	1.5	
20/10/2014	24	12	
13/10/2014	117.5	94	
12/10/2014	7.5	5.75	
09/10/2014	99.75	71.25	
08/10/2014	135.5	87.5	
07/10/2014	3.25	2	
06/10/2014	15	9	
05/10/2014	120	72	
04/10/2014	120	72	
03/10/2014	93.5	58.75	
02/10/2014	102.5	63.25	
01/10/2014	111.5	67.75	
30/9/2014	5.25	2.75	
29/9/2014	42.75	28.5	
28/9/2014	72	48	
27/9/2014	72	48	
26/9/2014	74	49.5	
25/9/2014	72	48	
24/9/2014	293.25	269.25	
23/9/2014	431	407	
22/9/2014	432	408	
21/9/2014	432	408	
20/9/2014	432	408	
19/9/2014	433	409	
18/9/2014	120	98.75	
17/9/2014	118.25	79.75	
16/9/2014	23.75	18.25	
15/9/2014	3.5	1.75	
13/9/2014	1.5	0.75	
05/9/2014	42.75	31	
04/9/2014	1.5	0.75	
30/8/2014	46.5	30.75	
29/8/2014	4.25	2.75	
27/8/2014	113.75	68.25	
26/8/2014	45	27	
22/8/2014	7.5	5	
21/8/2014	102.75	67	
20/8/2014	125.5	77.5	
19/8/2014	2.75	1.75	
13/8/2014	6	3	
11/8/2014	24.5	12.5	
10/8/2014	49.25	25	
09/8/2014	45.5	22.75	
08/8/2014	48.5	24.5	
07/8/2014	48	24	
06/8/2014	48	24	
05/8/2014	176.5	134.25	
04/8/2014	128.5	99.75	
03/8/2014	202.75	154.75	
02/8/2014	144	96	
01/8/2014	119.25	77.5	
31/7/2014	39.5	19.75	
30/7/2014	4	2	
29/7/2014	5	3	
20/7/2014	18.75	14.5	
19/7/2014	5.5	2.75	
18/7/2014	100.75	66.75	
17/7/2014	92.25	57.5	
16/7/2014	47.5	23.75	
15/7/2014	13.25	7.5	
12/7/2014	15	9	
11/7/2014	43.75	26.25	
09/7/2014	1.5	0.75	
07/7/2014	9	4.5	
01/7/2014	4.5	2.25	
29/6/2014	1.25	0.75	
27/6/2014	3.5	1.75	
25/6/2014	51.75	34.5	
24/6/2014	37.5	23.25	
23/6/2014	60	39.5	
22/6/2014	72	48	
21/6/2014	115	77.5	
20/6/2014	137.5	97.75	
14/6/2014	5.5	2.75	
13/6/2014	11	5.5	
12/6/2014	35	17.5	
11/6/2014	21	10.5	
05/6/2014	6	3	
02/6/2014	0.5	0.25	
30/5/2014	12.25	7.75	
28/5/2014	4	2	
27/5/2014	1.5	0.75	
26/5/2014	19.25	12.25	
25/5/2014	2.5	1.25	
24/5/2014	337.5	292.5	
23/5/2014	157.5	144.75	
22/5/2014	12	6	
20/5/2014	30	15	
19/5/2014	29	14.5	
18/5/2014	20	10	
17/5/2014	111	67	
16/5/2014	56	37.25	
14/5/2014	45	30	
13/5/2014	66.75	44.5	
12/5/2014	29	19.25	
09/5/2014	232	203	
08/5/2014	356.5	309	
07/5/2014	338.75	292.5	
06/5/2014	296.25	252.25	
05/5/2014	63.5	52	
03/5/2014	3.5	1.75	
02/5/2014	48	24	
01/5/2014	56.75	30	
30/4/2014	120	72	
29/4/2014	11.25	6.75	
