# t (s)	mx ()	my ()	mz ()	B_excit (T)	mx01 (T)	my01 (T)	mz01 (T)	mx02 (T)	mx03 (T)	mx04 (T)	mx05 (T)	mx06 (T)	mx07 (T)	mx08 (T)	mx09 (T)	mx10 (T)	mx11 (T)	mx12 (T)	mx13 (T)	mx14 (T)	mx15 (T)	mx16 (T)	mx17 (T)	mx18 (T)	mx19 (T)	mx20 (T)	mx21 (T)	mx22 (T)	mx23 (T)	mx24 (T)	mx25 (T)	mx26 (T)	mx27 (T)	mx28 (T)	mx29 (T)	mx30 (T)	mx31 (T)	mx32 (T)	mx33 (T)	mx34 (T)	mx35 (T)	mx36 (T)	mx37 (T)	mx38 (T)	mx39 (T)	mx40 (T)	mx41 (T)	mx42 (T)	mx43 (T)	mx44 (T)	mx45 (T)	mx46 (T)	mx47 (T)	mx48 (T)	mx49 (T)	mx50 (T)	mx51 (T)	mx52 (T)	mx53 (T)	mx54 (T)	mx55 (T)	mx56 (T)	mx57 (T)	mx58 (T)	mx59 (T)	mx60 (T)	mx61 (T)
1.009944662657696e-10	0.09831624	0.95774657	-2.4565572e-05	0.00097153295	0.09878826	0.957343	-0.0013109654	0.10214815	0.10293436	0.10323053	0.10342033	0.10357836	0.1037197	0.10384863	0.10396387	0.10406722	0.10415955	0.10424161	0.104314364	0.10437853	0.10443497	0.10448433	0.10452766	0.104564756	0.10459643	0.104623154	0.10464525	0.104663044	0.104676686	0.10468632	0.10469245	0.10469414	0.104692385	0.10468739	0.104677945	0.10466458	0.10464696	0.10462488	0.10459798	0.10456579	0.10452739	0.10448295	0.10443125	0.10437147	0.1043024	0.10422278	0.10413089	0.10402487	0.103902206	0.10375862	0.10359304	0.103399575	0.10317268	0.10290474	0.10258654	0.10220521	0.10174435	0.10118037	0.10047448	0.09959291	0.09846126	0.09698095	0.09499883	0.09229306	0.08852378	0.083204396	0.07552974
1.1133343695708956e-10	0.09830812	0.95773953	2.0942152e-05	0.00085752265	0.09511852	0.9574198	-0.0010312385	0.10017211	0.101973094	0.10271661	0.10311908	0.10338931	0.103594385	0.10376227	0.10390196	0.10402143	0.10412478	0.10421455	0.10429285	0.10436113	0.10442066	0.10447241	0.10451763	0.10455617	0.104589	0.10461673	0.104639634	0.10465806	0.104672275	0.10468256	0.10468863	0.104691125	0.10468976	0.104684524	0.104675695	0.104662366	0.104645	0.104623094	0.10459631	0.10456424	0.10452599	0.10448164	0.104430035	0.10437032	0.10430135	0.104221776	0.10412997	0.10402402	0.103901386	0.10375786	0.10359233	0.103398904	0.103172034	0.10290412	0.10258595	0.10220464	0.1017438	0.10117986	0.100473985	0.09959242	0.098460756	0.09698045	0.094998315	0.0922925	0.088523164	0.083203696	0.075529054
1.2157494567155204e-10	0.09842339	0.957729	5.2207924e-05	0.0002553822	0.09356842	0.9574762	-4.9882956e-06	0.09816435	0.10077625	0.1020127	0.10268187	0.10310328	0.1033989	0.10362419	0.103801176	0.1039459	0.10406685	0.104169235	0.10425675	0.10433189	0.104396656	0.10445244	0.10450083	0.104541875	0.10457676	0.10460613	0.1046304	0.104650006	0.10466515	0.104676045	0.10468322	0.10468642	0.10468556	0.104680575	0.10467184	0.104658976	0.10464197	0.10462027	0.10459371	0.10456185	0.104523815	0.104479596	0.10442817	0.10436859	0.10429972	0.10422029	0.10412856	0.10402268	0.10390016	0.1037567	0.10359124	0.10339787	0.10317107	0.10290318	0.1025851	0.10220384	0.10174302	0.101179115	0.10047327	0.09959171	0.09846008	0.0969798	0.09499764	0.09229178	0.08852237	0.0832029	0.07552832
1.317112208102011e-10	0.09859668	0.95772165	5.7408462e-05	-0.00048469473	0.09573919	0.9574844	0.001358746	0.097089045	0.09973776	0.10130129	0.10220594	0.10277788	0.10316991	0.103459306	0.103679225	0.10385375	0.1039959	0.10411359	0.10421243	0.10429607	0.1043673	0.1044281	0.10448047	0.104524665	0.104562044	0.10459345	0.10461942	0.10464039	0.10465663	0.104668826	0.10467633	0.10468007	0.10467976	0.104675956	0.104667485	0.104655184	0.104638405	0.10461702	0.104590766	0.10455913	0.10452132	0.10447733	0.10442604	0.10436663	0.10429791	0.104218595	0.104127	0.10402123	0.10389878	0.103755414	0.10359005	0.10339676	0.10317001	0.102902174	0.102584146	0.102202944	0.10174219	0.1011783	0.1004725	0.09959097	0.09845935	0.096979104	0.09499693	0.09229105	0.0885216	0.08320214	0.07552768
1.4173750916054927e-10	0.09874857	0.9577215	3.8705926e-05	-0.0009526935	0.101338215	0.9574031	0.0022841005	0.097793534	0.099322736	0.100821376	0.10182464	0.10249356	0.102959394	0.10330262	0.103560925	0.103763185	0.10392565	0.10405833	0.10416841	0.10426056	0.104338326	0.104404174	0.10446055	0.1045079	0.104547806	0.10458129	0.10460891	0.1046312	0.104648836	0.10466154	0.104670405	0.10467502	0.10467524	0.10467131	0.1046637	0.104651585	0.10463517	0.1046141	0.104588106	0.10455672	0.10451908	0.10447525	0.104424156	0.10436491	0.104296304	0.10421712	0.10412562	0.104019955	0.10389759	0.1037543	0.103589006	0.10339578	0.10316909	0.10290134	0.10258335	0.10220218	0.10174148	0.10117764	0.10047185	0.099590346	0.09845875	0.0969785	0.09499633	0.092290424	0.08852099	0.083201565	0.07552725
1.517041224415675e-10	0.098825485	0.957728	9.297032e-06	-0.000903621	0.10792718	0.9572399	0.0020865058	0.10051696	0.09989344	0.10079804	0.10167217	0.10233349	0.10282119	0.103190444	0.103471614	0.10369255	0.10386971	0.104013845	0.104132764	0.10423178	0.10431489	0.10438494	0.10444466	0.10449461	0.10453665	0.104571804	0.10460074	0.10462437	0.10464259	0.10465654	0.1046659	0.1046709	0.104671806	0.10466818	0.10466088	0.104649015	0.10463291	0.10461209	0.10458627	0.10455506	0.104517564	0.104473874	0.10442288	0.104363725	0.10429524	0.10421612	0.104124725	0.10401911	0.10389681	0.10375358	0.10358833	0.10339517	0.10316851	0.10290079	0.10258284	0.1022017	0.10174103	0.10117724	0.10047145	0.09958997	0.098458394	0.096978135	0.09499597	0.09229008	0.088520646	0.08320127	0.07552707
1.616405524592469e-10	0.098819315	0.9577378	-1.43423285e-05	-0.00036995453	0.111965224	0.957098	0.0006523103	0.1045496	0.10153247	0.10137072	0.10185112	0.102366775	0.10280192	0.10315454	0.10343352	0.1036576	0.10383959	0.10398865	0.10411199	0.10421475	0.10430095	0.10437353	0.10443529	0.1044869	0.10453022	0.104566485	0.10459633	0.10462058	0.104639456	0.10465393	0.104663566	0.104668915	0.104670115	0.10466676	0.10465962	0.10464793	0.104631945	0.104611225	0.10458553	0.1045544	0.10451697	0.10447336	0.10442244	0.104363315	0.10429488	0.10421579	0.10412443	0.10401885	0.10389658	0.10375337	0.10358814	0.10339501	0.103168346	0.10290066	0.10258273	0.102201596	0.10174093	0.10117715	0.10047138	0.09958992	0.09845833	0.09697807	0.09499591	0.09229	0.08852058	0.08320128	0.07552711
1.7155642917552858e-10	0.098764665	0.9577466	-2.1046464e-05	0.00036038388	0.11080333	0.9570999	-0.0013572361	0.108260915	0.103895135	0.10251401	0.1023939	0.10262892	0.10293	0.10321595	0.10346181	0.10366931	0.103843145	0.103988424	0.104110196	0.10421252	0.1042988	0.10437165	0.10443379	0.10448574	0.10452938	0.104565956	0.10459598	0.1046205	0.104639396	0.104653955	0.10466385	0.10466928	0.10467042	0.10466703	0.10466002	0.104648314	0.10463233	0.104611635	0.10458592	0.104554795	0.10451738	0.10447375	0.10442281	0.104363665	0.10429522	0.10421614	0.10412473	0.10401915	0.10389688	0.10375367	0.10358843	0.10339529	0.10316863	0.102900915	0.10258298	0.10220186	0.10174115	0.10117739	0.100471616	0.09959014	0.09845854	0.09697828	0.0949961	0.0922902	0.08852081	0.083201505	0.07552724
1.8144072633477055e-10	0.0987144	0.9577505	-1.05350255e-05	0.00089744275	0.10451766	0.9572341	-0.0028089124	0.10970332	0.10620209	0.10398713	0.10323052	0.103103384	0.103205666	0.10337944	0.10356172	0.10373209	0.10388373	0.10401554	0.10412904	0.10422613	0.10430903	0.10437967	0.10444026	0.104491115	0.10453407	0.10456996	0.10459961	0.104623586	0.10464255	0.10465634	0.10466603	0.104671374	0.10467218	0.10466903	0.10466171	0.104650036	0.10463388	0.104613066	0.10458728	0.104556076	0.104518555	0.10447485	0.104423836	0.104364656	0.10429616	0.104217	0.10412556	0.104019925	0.10389762	0.10375439	0.103589095	0.1033959	0.103169225	0.102901496	0.10258353	0.10220239	0.10174167	0.101177864	0.10047209	0.0995906	0.09845899	0.0969787	0.09499652	0.09229062	0.088521205	0.08320181	0.07552743
1.9117403581345506e-10	0.09870666	0.95774716	6.9892612e-06	0.0009618759	0.09630082	0.95739555	-0.0027998553	0.1076932	0.1074552	0.105342686	0.10417043	0.10370632	0.10359029	0.10362686	0.103724375	0.10384135	0.103958786	0.104068436	0.1041673	0.104254566	0.10433074	0.10439666	0.10445391	0.10450227	0.104543336	0.1045779	0.10460635	0.10462962	0.10464753	0.1046613	0.10467027	0.10467477	0.10467564	0.10467229	0.104664385	0.1046526	0.10463625	0.10461521	0.10458924	0.10455788	0.10452028	0.10447644	0.10442531	0.10436605	0.10429745	0.10421822	0.10412671	0.104021	0.10389863	0.10375534	0.10359	0.103396736	0.10317002	0.102902256	0.10258426	0.10220306	0.101742335	0.10117849	0.100472696	0.09959116	0.09845954	0.09697923	0.09499704	0.092291124	0.08852165	0.0832021	0.07552755
2.0079692029774273e-10	0.098742284	0.95773864	1.8065539e-05	0.00053814286	0.09046942	0.95751816	-0.0012788402	0.10267362	0.106917344	0.10609097	0.1049617	0.10431023	0.10401754	0.10392271	0.10393006	0.10398567	0.104061425	0.10414268	0.10422197	0.10429565	0.10436224	0.10442131	0.10447343	0.10451818	0.10455644	0.10458884	0.10461565	0.10463746	0.10465462	0.104667075	0.104675464	0.1046799	0.10467997	0.104675755	0.10466795	0.10465558	0.10463906	0.10461779	0.10459159	0.10456001	0.10452228	0.104478285	0.10442702	0.104367614	0.1042989	0.10421958	0.104127966	0.1040222	0.10389973	0.103756376	0.103590965	0.103397675	0.103170894	0.10290309	0.10258505	0.102203794	0.10174304	0.10117916	0.10047331	0.09959177	0.098460115	0.09697977	0.09499754	0.092291586	0.088522024	0.08320231	0.07552757
2.103493587005624e-10	0.098789014	0.95773005	1.3611493e-05	-0.00015142006	0.0901029	0.95758724	0.0009626387	0.09667247	0.10444081	0.10583597	0.10533707	0.10475948	0.10439815	0.1042155	0.10414834	0.10414673	0.104180194	0.10423088	0.10428814	0.10434593	0.10440102	0.104451664	0.1044975	0.104537606	0.10457231	0.10460195	0.10462667	0.10464675	0.10466256	0.10467404	0.104681626	0.10468466	0.10468415	0.104680076	0.104671605	0.1046589	0.10464198	0.104620464	0.10459404	0.10456227	0.1045243	0.104480155	0.10442875	0.104369216	0.10430038	0.10422096	0.10412923	0.10402337	0.103900835	0.10375739	0.103591934	0.10339856	0.103171766	0.10290391	0.10258578	0.102204494	0.1017437	0.10117978	0.10047389	0.09959233	0.09846064	0.09698026	0.094997995	0.09229195	0.08852226	0.0832024	0.07552755
2.222017215453005e-10	0.09879449	0.95772624	-1.29488835e-05	-0.0008652515	0.09734833	0.95752984	0.0029697046	0.0920787	0.09970205	0.1039399	0.10491509	0.10487091	0.10465443	0.10447898	0.10437629	0.10433118	0.1043251	0.10434335	0.10437513	0.10441346	0.10445374	0.10449322	0.10453055	0.10456418	0.10459393	0.10461972	0.10464145	0.10465919	0.104672976	0.1046831	0.10468905	0.104691826	0.10469053	0.1046852	0.10467593	0.104663	0.104645535	0.10462366	0.10459692	0.10456487	0.10452662	0.104482286	0.10443069	0.10437098	0.10430199	0.10422245	0.10413064	0.104024656	0.10390202	0.10375849	0.10359296	0.10339953	0.10317265	0.10290474	0.10258654	0.102205224	0.10174437	0.10118039	0.10047447	0.09959285	0.09846114	0.09698072	0.09499836	0.092292204	0.08852238	0.08320236	0.075527504
2.316326115776333e-10	0.09872142	0.95772964	-3.8999908e-05	-0.0009827651	0.105640754	0.95733106	0.0029062158	0.09320973	0.09631892	0.10153581	0.10381496	0.104478054	0.104576744	0.10452841	0.10446686	0.10442673	0.10441159	0.10441656	0.10443516	0.104461886	0.104492575	0.10452432	0.1045555	0.10458432	0.10461036	0.10463313	0.104652524	0.10466841	0.10468073	0.10468946	0.10469473	0.10469621	0.104694344	0.10468849	0.10467909	0.1046656	0.10464796	0.10462574	0.10459875	0.10456651	0.10452811	0.10448362	0.104431905	0.10437207	0.10430299	0.10422334	0.10413145	0.10402541	0.10390269	0.1037591	0.10359353	0.103400044	0.103173114	0.10290517	0.10258695	0.10220559	0.10174472	0.101180695	0.10047476	0.0995931	0.09846134	0.09698088	0.09499847	0.092292234	0.088522315	0.08320231	0.075527474
2.4102043070849525e-10	0.09858788	0.95773613	-5.4419565e-05	-0.00062649144	0.11157197	0.9570996	0.0013501309	0.09854367	0.09497941	0.099114016	0.10223758	0.10365911	0.104199015	0.10438136	0.10443119	0.10444152	0.10444624	0.104456104	0.10447285	0.10449513	0.104520775	0.104547754	0.10457473	0.10460007	0.10462319	0.10464367	0.104661144	0.10467552	0.10468662	0.1046944	0.10469895	0.104699545	0.1046971	0.1046909	0.10468128	0.10466734	0.10464951	0.10462706	0.10459991	0.104567505	0.10452897	0.10448438	0.10443257	0.104372665	0.104303494	0.1042238	0.10413184	0.10402575	0.103903	0.103759356	0.10359376	0.10340025	0.10317329	0.10290534	0.10258708	0.102205716	0.10174481	0.10118078	0.1004748	0.099593125	0.098461345	0.09698084	0.0949984	0.0922921	0.08852219	0.08320221	0.07552744
2.5035751356459234e-10	0.0984387	0.9577428	-4.9201422e-05	2.6952623e-05	0.1121755	0.95700085	-0.0008715858	0.10566772	0.09656654	0.09758167	0.10059383	0.102553144	0.1035493	0.10402589	0.10424649	0.10435266	0.10440936	0.10444609	0.1044759	0.104503736	0.104531065	0.10455788	0.10458386	0.10460791	0.10462979	0.104649104	0.10466562	0.104679085	0.10468949	0.10469669	0.104700744	0.104701	0.1046983	0.104691796	0.1046819	0.104667835	0.10464987	0.104627326	0.10460008	0.10456761	0.104529016	0.10448436	0.104432516	0.104372576	0.10430342	0.10422368	0.10413171	0.10402562	0.103902884	0.103759214	0.1035936	0.1034001	0.10317314	0.102905154	0.10258692	0.10220552	0.10174461	0.101180576	0.1004746	0.09959292	0.098461114	0.09698059	0.09499812	0.09229184	0.08852198	0.083202116	0.07552738
