1.503789  1.503789  0.21101109999999998 0.21101109999999998
1.443433  1.443433  0.20954689999999998 0.20954689999999998
1.503789  1.443433  0.21101109999999998 0.21101109999999998
1.383748  1.383748  0.2085419 0.2085419
1.443433  1.383748  0.21026887323094823 0.21028151441827866
1.503789  1.383748  0.21086926519086105 0.2108677272913925
1.3232490000000001  1.3232490000000001  0.2074879 0.2074879
1.383748  1.3232490000000001  0.2083150988336946 0.20831294592998414
1.443433  1.3232490000000001  0.20993281700916555 0.2099371673681349
1.503789  1.3232490000000001  0.2108899178847798 0.21087814253192114
1.263542  1.263542  0.20636529999999997 0.20636529999999997
1.3232490000000001  1.263542  0.20751412006188244 0.207523198873392
1.383748  1.263542  0.20898976026012034 0.20902882728701783
1.443433  1.263542  0.20887763694228884 0.208831112583164
1.503789  1.263542  0.21088839077794216 0.21087561569915
1.202952  1.202952  0.2049274 0.2049274
1.263542  1.202952  0.20621080856801188 0.2062147842872688
1.3232490000000001  1.202952  0.20792676677646948 0.20794336444173833
1.383748  1.202952  0.20775638220635648 0.20772403059073702
1.443433  1.202952  0.20958645277749782 0.20956280592361903
1.503789  1.202952  0.21097371564850695 0.21095188426137015
1.1432090000000001  1.1432090000000001  0.2038925 0.2038925
1.202952  1.1432090000000001  0.20455258072724555 0.20452990667301013
1.263542  1.1432090000000001  0.20594837841926 0.20593919825088491
1.3232490000000001  1.1432090000000001  0.20801207043821146 0.20804017942069844
1.383748  1.1432090000000001  0.2078599594788314 0.20785577908852582
1.443433  1.1432090000000001  0.20972046170801575 0.20967730857366437
1.503789  1.1432090000000001  0.21050991839316446 0.21048924250407858
1.0827360000000001  1.0827360000000001  0.2021848 0.2021848
1.1432090000000001  1.0827360000000001  0.2040189608833301 0.20401911324953367
1.202952  1.0827360000000001  0.20494253133060783 0.20493966276894027
1.263542  1.0827360000000001  0.20539370061945286 0.2053751480188408
1.3232490000000001  1.0827360000000001  0.20799720741345448 0.208016399458007
1.383748  1.0827360000000001  0.20757164823494284 0.20756189870256572
1.443433  1.0827360000000001  0.20949953949793176 0.20950641418225657
1.503789  1.0827360000000001  0.21146287851323478 0.21146301725802796
1.022985  1.022985  0.2012561 0.2012561
1.0827360000000001  1.022985  0.20230179215180483 0.20231702549791264
